,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,7,7,8,8,186,2,0,1,0,14.0,24.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,1,0.043010752688172046
1,7,7,8,8,182,2,0,1,0,14.51,17.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,2,0.04395604395604396
2,7,7,8,8,173,2,0,1,0,14.51,16.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,3,0.046242774566473986
3,7,7,8,8,178,2,0,1,0,14.0,15.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,4,0.0449438202247191
4,7,7,8,8,180,2,0,1,0,14.0,17.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,5,0.044444444444444446
5,7,7,8,8,177,2,0,1,0,14.0,15.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,6,0.04519774011299435
6,7,7,8,8,175,2,0,1,0,14.03,14.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,7,0.045714285714285714
7,7,7,8,8,175,2,0,1,0,13.57,17.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,8,0.045714285714285714
8,7,7,8,8,176,2,0,1,0,14.0,17.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,9,0.045454545454545456
9,7,7,8,8,175,2,0,1,0,14.0,16.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,10,0.045714285714285714
10,7,7,8,8,177,2,0,1,0,14.0,18.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,11,0.04519774011299435
11,7,7,8,8,185,2,0,1,0,14.03,20.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,12,0.043243243243243246
12,7,7,8,8,177,2,0,1,0,14.03,15.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,13,0.04519774011299435
13,7,7,8,8,184,2,0,1,0,14.03,17.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/99.onnx,TL,1,14,0.043478260869565216
