,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,labels,avg q,idx
0,2.489363193511963,0,1e-05,20,0.1,20,True,10000,True,10000,True,True,1.2355311,0
1,118.94219374656677,50000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-3.2641861,1
2,267.0585894584656,100000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-7.067445,2
3,430.6647837162018,150000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-10.9931555,3
4,603.0617966651917,200000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-15.2139225,4
5,748.15261054039,250000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-19.734379,5
6,865.4378409385681,300000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-24.423798,6
7,973.983386516571,350000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-28.282547,7
8,1066.0909934043884,400000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-26.473883,8
9,1153.670484304428,450000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-20.225258,9
10,1241.2059118747711,500000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-10.645335,10
11,1342.3408858776093,550000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.167111,11
12,1431.5657188892365,600000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-6.372238,12
13,1519.9833199977875,650000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-3.9494743,13
14,1611.01455783844,700000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-3.5819905,14
15,1699.1491403579712,750000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-3.809273,15
16,1786.7080199718475,800000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-3.7233574,16
17,1873.064285993576,850000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-3.6954205,17
18,1969.007917881012,900000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-5.362298,18
19,2055.4382984638214,950000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-6.6617346,19
20,2145.0571269989014,1000000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.036661,20
21,2232.3958854675293,1050000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.3246975,21
22,2319.1711089611053,1100000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.656233,22
23,2404.74130320549,1150000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.287755,23
24,2490.26730966568,1200000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-6.411629,24
25,2576.9211604595184,1250000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-5.7013555,25
26,2662.194538831711,1300000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-6.4899397,26
27,2746.3813524246216,1350000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-7.975797,27
28,2830.571517467499,1400000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.606493,28
29,2914.6674370765686,1450000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.677227,29
30,2998.656704187393,1500000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.821363,30
31,3082.6238372325897,1550000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.899469,31
32,3167.0078558921814,1600000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.744593,32
33,3252.175904273987,1650000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-10.372208,33
34,3342.111658811569,1700000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-9.448758,34
35,3429.755579471588,1750000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-9.329421,35
36,3515.0652797222137,1800000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-9.361381,36
37,3600.622494697571,1850000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-10.425166,37
38,3687.3862895965576,1900000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.901899,38
39,3773.5319681167603,1950000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-9.912669,39
40,3860.123866558075,2000000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-9.557227,40
41,3946.3667285442352,2050000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.511441,41
42,4034.6592655181885,2100000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.788693,42
43,4121.858289480209,2150000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-9.03082,43
44,4208.537611484528,2200000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.945482,44
45,4294.860072851181,2250000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.664859,45
46,4382.346060037613,2300000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-9.567757,46
47,4469.200236082077,2350000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-9.111769,47
48,4555.53160405159,2400000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-9.534168,48
49,4643.075912952423,2450000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-9.823225,49
50,4730.972635507584,2500000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.608118,50
51,4819.850786924362,2550000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.648388,51
52,4908.1408014297485,2600000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.831181,52
53,4995.809122085571,2650000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-9.721196,53
54,5086.316485404968,2700000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-8.639837,54
55,5177.378027677536,2750000,1e-05,20,0.1,20,True,10000,True,10000,True,True,-11.066682,55
