,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,8.0,7.0,9.0,8.0,145.0,2.0,0.0,1.0,1.0,17.23,11.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,1,1
1,8.0,7.0,9.0,8.0,163.0,2.0,0.0,1.0,0.0,18.24,13.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,1,2
2,8.0,7.0,9.0,8.0,144.0,2.0,0.0,1.0,0.0,18.72,9.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,1,3
3,8.0,7.0,9.0,8.0,145.0,2.0,0.0,1.0,0.0,18.21,11.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,1,4
4,8.0,7.0,9.0,8.0,161.0,2.0,0.0,1.0,0.0,18.21,10.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,1,5
5,8.0,7.0,9.0,8.0,146.0,2.0,0.0,1.0,0.0,18.21,11.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,1,6
6,8.0,7.0,9.0,8.0,145.0,2.0,0.0,1.0,0.0,19.2,10.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,1,7
7,8.0,7.0,9.0,8.0,166.0,2.0,0.0,1.0,0.0,19.2,10.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,1,8
8,8.0,7.0,9.0,8.0,173.0,2.0,0.0,1.0,0.0,19.2,12.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,1,9
9,8.0,7.0,9.0,8.0,144.0,2.0,0.0,1.0,0.0,19.17,10.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,1,10
10,8.0,7.0,9.0,8.0,146.0,2.0,0.0,1.0,0.0,19.17,11.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,1,11
11,8.0,7.0,9.0,8.0,145.0,2.0,0.0,1.0,0.0,19.2,10.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,1,12
12,8.0,7.0,9.0,8.0,146.0,2.0,0.0,1.0,0.0,19.2,11.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,1,13
13,8.0,7.0,9.0,8.0,144.0,2.0,0.0,1.0,0.0,19.2,10.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,1,14
14,8.0,7.0,9.0,8.0,149.0,2.0,0.0,1.0,0.0,19.23,13.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,1,15
15,12.0,9.0,14.0,10.0,163.0,2.0,0.0,1.0,1.0,19.2,10.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,2,1
16,21.0,11.0,25.0,12.0,156.0,2.0,0.0,1.0,3.0,19.2,22.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,2,2
17,18.0,9.0,21.0,10.0,152.0,2.0,0.0,1.0,0.0,19.2,17.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,2,3
18,25.0,9.0,31.0,10.0,160.0,3.0,0.0,1.0,0.0,19.2,27.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,2,4
19,25.0,9.0,32.0,10.0,160.0,3.0,0.0,1.0,0.0,19.2,27.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,2,5
20,25.0,9.0,32.0,10.0,163.0,3.0,0.0,1.0,0.0,19.23,26.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,2,6
21,25.0,9.0,32.0,10.0,168.0,3.0,0.0,1.0,0.0,19.2,28.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,2,7
22,25.0,9.0,32.0,10.0,177.0,3.0,0.0,1.0,0.0,19.23,21.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,2,8
23,25.0,9.0,32.0,10.0,175.0,3.0,0.0,1.0,0.0,19.7,21.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,2,9
24,25.0,9.0,32.0,10.0,172.0,3.0,0.0,1.0,0.0,19.7,36.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,2,10
25,25.0,9.0,32.0,10.0,194.0,3.0,0.0,1.0,0.0,20.18,26.0,True,new,experiments/results/TL_2_2/multiple_all/99.onnx,TL,2,11
