,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,10.0,7.0,13.0,8.0,163.0,2.0,0.0,1.0,4.0,17.26,10.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,1,1,0
1,23.0,7.0,41.0,8.0,158.0,4.0,0.0,1.0,7.0,19.17,22.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,1,2,0
2,47.0,11.0,86.0,12.0,192.0,7.0,0.0,2.0,15.0,20.18,45.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,1,3,0
3,72.0,16.0,138.0,21.0,232.0,24.0,0.0,1.0,15.0,21.62,86.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,1,4,0
4,114.0,21.0,231.0,32.0,302.0,40.0,0.0,1.0,23.0,24.66,118.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,1,5,0
5,162.0,23.0,351.0,33.0,356.0,70.0,0.0,1.0,40.0,9.06,167.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,1,6,0
6,211.0,27.0,467.0,40.0,364.0,111.0,0.0,1.0,38.0,22.1,167.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,1,7,0
7,287.0,59.0,719.0,101.0,542.0,168.0,0.0,27.0,68.0,37.09,280.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,1,8,0
8,357.0,99.0,917.0,194.0,582.0,248.0,0.0,25.0,72.0,53.08,247.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,1,9,0
9,436.0,118.0,1144.0,234.0,601.0,331.0,0.0,28.0,85.0,80.1,287.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,1,10,0
10,512.0,32.0,1256.0,48.0,708.0,394.0,0.0,1.0,83.0,106.19,306.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,1,11,0
11,619.0,126.0,1681.0,230.0,1005.0,514.0,0.0,39.0,123.0,28.59,504.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,1,12,0
12,724.0,143.0,1991.0,263.0,1252.0,645.0,0.0,34.0,134.0,116.82,621.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,1,13,0
13,832.0,166.0,2324.0,313.0,1459.0,744.0,0.0,53.0,147.0,61.46,656.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,1,14,0
14,951.0,206.0,2665.0,395.0,1628.0,865.0,0.0,51.0,163.0,11.85,726.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,1,15,0
15,35.0,13.0,54.0,16.0,182.0,4.0,0.0,1.0,23.0,19.65,28.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,2,1,0
16,201.0,16.0,432.0,19.0,389.0,76.0,0.0,1.0,101.0,19.1,156.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,2,2,0
17,732.0,17.0,1800.0,22.0,1014.0,447.0,0.0,25.0,327.0,60.76,449.0,True,new,experiments/results/TL_2_2/multiple_all/0.onnx,TL,2,3,0
