,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,8,7,9,8,172,2,0,1,1,12.54,14.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,1,1
1,9,7,11,8,173,2,0,1,0,15.53,19.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,1,2
2,9,7,11,8,173,2,0,1,0,15.53,17.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,1,3
3,9,7,11,8,181,2,0,1,0,15.53,18.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,1,4
4,9,7,11,8,177,2,0,1,0,15.53,17.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,1,5
5,9,7,11,8,178,2,0,1,0,15.02,17.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,1,6
6,9,7,11,8,175,2,0,1,0,15.02,17.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,1,7
7,9,7,11,8,177,2,0,1,0,15.53,21.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,1,8
8,9,7,11,8,175,2,0,1,0,15.02,20.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,1,9
9,9,7,11,8,178,2,0,1,0,14.54,17.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,1,10
10,9,7,11,8,170,2,0,1,0,15.02,15.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,1,11
11,9,7,11,8,184,2,0,1,0,15.02,25.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,1,12
12,9,7,11,8,174,2,0,1,0,15.02,17.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,1,13
13,9,7,11,8,178,2,0,1,0,15.02,19.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,1,14
14,9,7,11,8,174,2,0,1,0,15.02,15.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,1,15
15,12,9,13,10,176,2,0,1,1,14.51,17.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,2,1
16,13,9,15,10,189,2,0,1,0,15.02,23.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,2,2
17,13,9,15,10,181,2,0,1,0,15.02,19.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,2,3
18,13,9,15,10,177,2,0,1,0,15.5,20.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,2,4
19,13,9,15,10,183,2,0,1,0,15.02,24.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,2,5
20,13,9,15,10,179,2,0,1,0,15.02,20.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,2,6
21,13,9,15,10,183,2,0,1,0,15.02,23.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,2,7
22,13,9,15,10,181,2,0,1,0,15.5,20.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,2,8
23,13,9,15,10,177,2,0,1,0,15.5,21.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,2,9
24,13,9,15,10,181,2,0,1,0,15.5,21.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,2,10
25,13,9,15,10,179,2,0,1,0,15.5,25.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,2,11
26,13,9,15,10,180,2,0,1,0,15.5,19.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,2,12
27,13,9,15,10,178,2,0,1,0,15.53,19.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,2,13
28,13,9,15,10,179,2,0,1,0,15.53,22.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,2,14
29,13,9,15,10,176,2,0,1,0,16.0,20.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,2,15
30,16,11,17,12,179,2,0,1,1,15.02,20.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,3,1
31,17,11,19,12,180,2,0,1,0,15.02,22.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,3,2
32,17,11,19,12,187,2,0,1,0,15.5,22.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,3,3
33,17,11,19,12,185,2,0,1,0,15.5,26.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,3,4
34,17,11,19,12,182,2,0,1,0,15.5,18.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,3,5
35,17,11,19,12,188,2,0,1,0,15.5,26.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,3,6
36,17,11,19,12,182,2,0,1,0,15.5,22.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,3,7
37,17,11,19,12,186,2,0,1,0,15.53,27.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,3,8
38,17,11,19,12,187,2,0,1,0,15.53,25.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,3,9
39,17,11,19,12,183,2,0,1,0,16.0,25.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,3,10
40,17,11,19,12,184,2,0,1,0,16.0,24.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,3,11
41,17,11,19,12,183,2,0,1,0,16.0,24.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,3,12
42,17,11,19,12,182,2,0,1,0,16.48,21.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,3,13
43,17,11,19,12,184,2,0,1,0,16.48,24.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,3,14
44,17,11,19,12,189,2,0,1,0,16.48,28.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,3,15
45,20,13,21,14,186,2,0,1,1,15.5,26.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,4,1
46,21,13,23,14,193,2,0,1,0,15.5,27.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,4,2
47,21,13,23,14,189,2,0,1,0,15.5,27.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,4,3
48,21,13,23,14,192,2,0,1,0,15.5,30.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,4,4
49,21,13,23,14,187,2,0,1,0,15.5,26.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,4,5
50,21,13,23,14,188,2,0,1,0,15.53,26.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,4,6
51,21,13,23,14,186,2,0,1,0,16.0,25.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,4,7
52,21,13,23,14,187,2,0,1,0,16.0,26.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,4,8
53,21,13,23,14,190,2,0,1,0,16.48,33.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,4,9
54,21,13,23,14,191,2,0,1,0,16.48,29.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,4,10
55,21,13,23,14,193,2,0,1,0,16.48,25.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,4,11
56,21,13,23,14,188,2,0,1,0,16.48,29.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,4,12
57,21,13,23,14,190,2,0,1,0,16.48,31.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,4,13
58,21,13,23,14,187,2,0,1,0,16.48,26.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,4,14
59,21,13,23,14,199,2,0,1,0,16.51,30.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,4,15
60,24,15,25,16,190,2,0,1,1,15.5,27.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,5,1
61,25,15,27,16,195,2,0,1,0,15.5,35.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,5,2
62,25,15,27,16,192,2,0,1,0,15.5,32.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,5,3
63,25,15,27,16,195,2,0,1,0,16.0,27.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,5,4
64,25,15,27,16,190,2,0,1,0,16.48,32.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,5,5
65,25,15,27,16,195,2,0,1,0,16.48,33.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,5,6
66,25,15,27,16,191,2,0,1,0,16.48,29.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,5,7
67,25,15,27,16,190,2,0,1,0,16.48,31.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,5,8
68,25,15,27,16,204,2,0,1,0,16.48,43.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,5,9
69,25,15,27,16,191,2,0,1,0,16.48,31.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,5,10
70,25,15,27,16,197,2,0,1,0,16.99,35.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,5,11
71,25,15,27,16,186,2,0,1,0,16.99,28.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,5,12
72,25,15,27,16,202,2,0,1,0,16.99,36.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,5,13
73,25,15,27,16,196,2,0,1,0,16.48,30.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,5,14
74,25,15,27,16,198,2,0,1,0,16.48,35.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,5,15
75,28,17,29,18,204,2,0,1,1,15.5,42.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,6,1
76,29,17,31,18,202,2,0,1,0,15.98,32.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,6,2
77,29,17,31,18,197,2,0,1,0,16.0,38.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,6,3
78,29,17,31,18,199,2,0,1,0,16.48,40.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,6,4
79,29,17,31,18,209,2,0,1,0,16.48,50.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,6,5
80,29,17,31,18,200,2,0,1,0,16.48,39.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,6,6
81,29,17,31,18,199,2,0,1,0,16.48,36.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,6,7
82,29,17,31,18,202,2,0,1,0,16.96,41.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,6,8
83,29,17,31,18,211,2,0,1,0,16.96,46.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,6,9
84,29,17,31,18,212,2,0,1,0,16.99,50.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,6,10
85,29,17,31,18,214,2,0,1,0,16.99,45.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,6,11
86,29,17,31,18,200,2,0,1,0,16.96,33.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,6,12
87,29,17,31,18,202,2,0,1,0,16.99,35.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,6,13
88,29,17,31,18,205,2,0,1,0,16.99,36.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,6,14
89,29,17,31,18,204,2,0,1,0,17.5,30.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,6,15
90,32,19,33,20,208,2,0,1,1,15.98,45.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,7,1
91,33,19,35,20,202,2,0,1,0,16.0,39.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,7,2
92,33,19,35,20,198,2,0,1,0,16.48,35.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,7,3
93,33,19,35,20,206,2,0,1,0,16.48,36.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,7,4
94,33,19,35,20,204,2,0,1,0,16.48,39.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,7,5
95,33,19,35,20,206,2,0,1,0,16.96,38.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,7,6
96,33,19,35,20,207,2,0,1,0,16.99,37.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,7,7
97,33,19,35,20,198,2,0,1,0,16.96,38.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,7,8
98,33,19,35,20,201,2,0,1,0,16.96,40.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,7,9
99,33,19,35,20,204,2,0,1,0,17.44,39.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,7,10
100,33,19,35,20,202,2,0,1,0,17.47,41.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,7,11
101,33,19,35,20,219,2,0,1,0,17.47,46.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,7,12
102,33,19,35,20,201,2,0,1,0,16.99,38.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,7,13
103,33,19,35,20,213,2,0,1,0,17.95,47.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,7,14
104,33,19,35,20,205,2,0,1,0,17.98,42.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,7,15
105,36,21,37,22,208,2,0,1,1,15.98,39.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,8,1
106,37,21,39,22,207,2,0,1,0,16.0,45.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,8,2
107,37,21,39,22,216,2,0,1,0,16.48,53.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,8,3
108,37,21,39,22,204,2,0,1,0,16.96,44.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,8,4
109,37,21,39,22,201,2,0,1,0,16.96,36.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,8,5
110,37,21,39,22,209,2,0,1,0,16.96,41.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,8,6
111,37,21,39,22,207,2,0,1,0,16.99,43.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,8,7
112,37,21,39,22,214,2,0,1,0,17.44,50.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,8,8
113,37,21,39,22,202,2,0,1,0,17.47,38.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,8,9
114,37,21,39,22,205,2,0,1,0,17.47,42.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,8,10
115,37,21,39,22,214,2,0,1,0,17.95,41.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,8,11
116,37,21,39,22,213,2,0,1,0,17.95,43.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,8,12
117,37,21,39,22,203,2,0,1,0,17.98,39.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,8,13
118,37,21,39,22,213,2,0,1,0,17.98,40.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,8,14
119,37,21,39,22,210,2,0,1,0,18.0,40.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,8,15
120,40,23,41,24,207,2,0,1,1,16.48,44.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,9,1
121,41,23,43,24,215,2,0,1,0,16.48,48.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,9,2
122,41,23,43,24,207,2,0,1,0,16.96,46.0,False,new,experiments/results/TL_2_2/no_TB/24.onnx,TL,9,3
