,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,8,7,10,8,175,2,0,1,2,13.53,15.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,1,1
1,8,7,10,8,172,2,0,1,0,15.53,17.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,1,2
2,8,7,10,8,177,2,0,1,0,15.53,17.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,1,3
3,8,7,10,8,177,2,0,1,0,15.53,18.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,1,4
4,8,7,10,8,176,2,0,1,0,15.53,18.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,1,5
5,8,7,10,8,177,2,0,1,0,15.02,17.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,1,6
6,8,7,10,8,176,2,0,1,0,15.02,17.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,1,7
7,8,7,10,8,175,2,0,1,0,15.53,19.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,1,8
8,8,7,10,8,180,2,0,1,0,15.02,16.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,1,9
9,8,7,10,8,188,2,0,1,0,15.02,30.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,1,10
10,8,7,10,8,178,2,0,1,0,15.02,19.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,1,11
11,8,7,10,8,177,2,0,1,0,15.02,17.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,1,12
12,8,7,10,8,173,2,0,1,0,15.02,16.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,1,13
13,8,7,10,8,173,2,0,1,0,15.02,16.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,1,14
14,8,7,10,8,175,2,0,1,0,15.02,17.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,1,15
15,11,9,13,10,182,2,0,1,2,15.02,15.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,2,1
16,12,9,14,10,176,2,0,1,0,15.02,19.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,2,2
17,12,9,14,10,181,2,0,1,0,15.02,21.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,2,3
18,12,9,14,10,179,2,0,1,0,15.5,20.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,2,4
19,12,9,14,10,179,2,0,1,0,15.02,17.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,2,5
20,12,9,14,10,177,2,0,1,0,15.02,18.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,2,6
21,12,9,14,10,186,2,0,1,0,15.02,21.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,2,7
22,12,9,14,10,185,2,0,1,0,15.5,23.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,2,8
23,12,9,14,10,177,2,0,1,0,15.5,22.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,2,9
24,12,9,14,10,178,2,0,1,0,15.5,21.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,2,10
25,12,9,14,10,182,2,0,1,0,15.5,18.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,2,11
26,12,9,14,10,181,2,0,1,0,15.5,17.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,2,12
27,12,9,14,10,180,2,0,1,0,15.53,23.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,2,13
28,12,9,14,10,177,2,0,1,0,15.53,20.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,2,14
29,12,9,14,10,176,2,0,1,0,15.53,19.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,2,15
30,15,11,17,12,179,2,0,1,2,14.99,19.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,3,1
31,16,11,18,12,179,2,0,1,0,15.02,21.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,3,2
32,16,11,18,12,191,2,0,1,0,15.5,28.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,3,3
33,16,11,18,12,181,2,0,1,0,15.5,23.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,3,4
34,16,11,18,12,180,2,0,1,0,15.5,24.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,3,5
35,16,11,18,12,179,2,0,1,0,15.5,22.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,3,6
36,16,11,18,12,187,2,0,1,0,15.5,23.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,3,7
37,16,11,18,12,183,2,0,1,0,15.53,24.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,3,8
38,16,11,18,12,184,2,0,1,0,15.53,24.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,3,9
39,16,11,18,12,187,2,0,1,0,16.0,24.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,3,10
40,16,11,18,12,184,2,0,1,0,16.0,27.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,3,11
41,16,11,18,12,187,2,0,1,0,16.0,25.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,3,12
42,16,11,18,12,184,2,0,1,0,16.0,25.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,3,13
43,16,11,18,12,181,2,0,1,0,16.48,23.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,3,14
44,16,11,18,12,182,2,0,1,0,16.48,23.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,3,15
45,19,13,21,14,189,2,0,1,2,15.5,23.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,4,1
46,20,13,22,14,191,2,0,1,0,15.5,31.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,4,2
47,20,13,22,14,187,2,0,1,0,15.5,25.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,4,3
48,20,13,22,14,211,2,0,1,0,15.5,26.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,4,4
49,20,13,22,14,186,2,0,1,0,15.5,26.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,4,5
50,20,13,22,14,189,2,0,1,0,15.53,29.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,4,6
51,20,13,22,14,202,2,0,1,0,16.0,44.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,4,7
52,20,13,22,14,191,2,0,1,0,16.0,24.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,4,8
53,20,13,22,14,191,2,0,1,0,16.48,26.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,4,9
54,20,13,22,14,187,2,0,1,0,16.48,28.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,4,10
55,20,13,22,14,187,2,0,1,0,16.48,28.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,4,11
56,20,13,22,14,187,2,0,1,0,16.48,26.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,4,12
57,20,13,22,14,188,2,0,1,0,16.51,28.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,4,13
58,20,13,22,14,195,2,0,1,0,16.48,33.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,4,14
59,20,13,22,14,196,2,0,1,0,16.51,29.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,4,15
60,23,15,25,16,191,2,0,1,2,15.5,25.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,5,1
61,24,15,26,16,195,2,0,1,0,15.5,35.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,5,2
62,24,15,26,16,199,2,0,1,0,15.5,36.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,5,3
63,24,15,26,16,203,2,0,1,0,15.53,43.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,5,4
64,24,15,26,16,195,2,0,1,0,16.48,31.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,5,5
65,24,15,26,16,193,2,0,1,0,16.48,27.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,5,6
66,24,15,26,16,196,2,0,1,0,16.48,32.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,5,7
67,24,15,26,16,192,2,0,1,0,16.48,33.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,5,8
68,24,15,26,16,195,2,0,1,0,16.48,31.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,5,9
69,24,15,26,16,193,2,0,1,0,16.48,32.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,5,10
70,24,15,26,16,207,2,0,1,0,16.99,48.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,5,11
71,24,15,26,16,199,2,0,1,0,16.99,34.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,5,12
72,24,15,26,16,201,2,0,1,0,16.96,30.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,5,13
73,24,15,26,16,200,2,0,1,0,16.96,36.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,5,14
74,24,15,26,16,196,2,0,1,0,16.96,33.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,5,15
75,27,17,29,18,212,2,0,1,2,15.5,51.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,6,1
76,28,17,30,18,203,2,0,1,0,15.5,34.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,6,2
77,28,17,30,18,194,2,0,1,0,16.0,30.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,6,3
78,28,17,30,18,194,2,0,1,0,16.48,35.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,6,4
79,28,17,30,18,195,2,0,1,0,16.48,33.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,6,5
80,28,17,30,18,198,2,0,1,0,16.48,36.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,6,6
81,28,17,30,18,197,2,0,1,0,16.48,33.0,False,new,experiments/results/TL_2_2/nomomentum/47.onnx,TL,6,7
