,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,10.0,7.0,13.0,8.0,341.0,2.0,0.0,1.0,4.0,17.23,14.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,1,1,0
1,16.0,7.0,25.0,8.0,174.0,4.0,0.0,1.0,0.0,19.17,21.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,1,2,0
2,34.0,10.0,71.0,12.0,173.0,18.0,0.0,4.0,0.0,19.68,31.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,1,3,0
3,80.0,7.0,187.0,8.0,237.0,58.0,0.0,12.0,14.0,23.14,66.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,1,4,0
4,122.0,53.0,304.0,100.0,275.0,111.0,0.0,17.0,18.0,27.62,111.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,1,5,0
5,166.0,74.0,426.0,146.0,333.0,169.0,0.0,21.0,17.0,20.91,125.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,1,6,0
6,221.0,117.0,591.0,261.0,354.0,236.0,0.0,29.0,25.0,31.93,150.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,1,7,0
7,291.0,149.0,800.0,341.0,502.0,338.0,0.0,36.0,31.0,52.96,203.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,1,8,0
8,362.0,185.0,1012.0,432.0,532.0,442.0,0.0,38.0,34.0,81.09,213.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,1,9,0
9,55.0,7.0,96.0,8.0,238.0,12.0,0.0,1.0,0.0,20.18,60.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,1,10,0
10,60.0,7.0,105.0,8.0,201.0,13.0,0.0,1.0,0.0,20.18,62.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,1,11,0
11,65.0,7.0,114.0,8.0,237.0,14.0,0.0,1.0,0.0,20.66,55.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,1,12,0
12,70.0,7.0,123.0,8.0,226.0,15.0,0.0,1.0,0.0,21.14,63.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,1,13,0
13,75.0,7.0,132.0,8.0,220.0,16.0,0.0,1.0,0.0,21.62,61.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,1,14,0
14,80.0,7.0,141.0,8.0,210.0,17.0,0.0,1.0,0.0,21.62,61.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,1,15,0
15,18.0,9.0,26.0,10.0,165.0,3.0,0.0,1.0,4.0,19.2,18.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,2,1,0
16,48.0,12.0,90.0,14.0,190.0,13.0,0.0,1.0,6.0,20.18,48.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,2,2,0
17,86.0,14.0,183.0,18.0,238.0,26.0,0.0,1.0,3.0,23.14,80.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,2,3,0
18,138.0,16.0,311.0,20.0,349.0,32.0,0.0,1.0,3.0,27.14,169.0,True,new,experiments/results/TL_2_2/prop/0.onnx,TL,2,4,0
