,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,Exception
0,8.0,7.0,9.0,8.0,133.0,2.0,0.0,1.0,1.0,12.99,14.0,True,new,experiments/results/TL_2_2/pytorch_epsdec/26.onnx,TL,1,1,
1,12.0,9.0,13.0,10.0,137.0,2.0,0.0,1.0,1.0,14.51,15.0,True,new,experiments/results/TL_2_2/pytorch_epsdec/26.onnx,TL,1,2,
2,24.0,12.0,31.0,14.0,152.0,3.0,0.0,1.0,2.0,15.47,28.0,True,new,experiments/results/TL_2_2/pytorch_epsdec/26.onnx,TL,1,3,
3,31.0,12.0,43.0,14.0,161.0,5.0,0.0,1.0,0.0,15.47,37.0,True,new,experiments/results/TL_2_2/pytorch_epsdec/26.onnx,TL,1,4,
4,38.0,12.0,53.0,14.0,173.0,6.0,0.0,1.0,0.0,15.95,49.0,True,new,experiments/results/TL_2_2/pytorch_epsdec/26.onnx,TL,1,5,
5,39.0,12.0,47.0,14.0,176.0,2.0,0.0,1.0,0.0,15.47,51.0,True,new,experiments/results/TL_2_2/pytorch_epsdec/26.onnx,TL,1,6,
6,44.0,12.0,53.0,14.0,179.0,2.0,0.0,1.0,0.0,15.95,46.0,True,new,experiments/results/TL_2_2/pytorch_epsdec/26.onnx,TL,1,7,
7,49.0,12.0,59.0,14.0,179.0,2.0,0.0,1.0,0.0,15.95,53.0,True,new,experiments/results/TL_2_2/pytorch_epsdec/26.onnx,TL,1,8,
8,53.0,12.0,64.0,14.0,184.0,2.0,0.0,1.0,0.0,15.95,56.0,True,new,experiments/results/TL_2_2/pytorch_epsdec/26.onnx,TL,1,9,
9,58.0,12.0,70.0,14.0,189.0,2.0,0.0,1.0,0.0,15.95,58.0,True,new,experiments/results/TL_2_2/pytorch_epsdec/26.onnx,TL,1,10,
