,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,8,7,9,8,134,2,0,1,1,12.51,13.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,1,1
1,8,7,9,8,137,2,0,1,0,14.51,15.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,1,2
2,8,7,9,8,138,2,0,1,0,14.51,13.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,1,3
3,8,7,9,8,137,2,0,1,0,14.03,13.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,1,4
4,8,7,9,8,144,2,0,1,0,14.51,13.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,1,5
5,8,7,9,8,136,2,0,1,0,14.51,11.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,1,6
6,8,7,9,8,134,2,0,1,0,15.02,15.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,1,7
7,8,7,9,8,138,2,0,1,0,14.51,16.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,1,8
8,8,7,9,8,136,2,0,1,0,14.51,13.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,1,9
9,8,7,9,8,136,2,0,1,0,14.03,16.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,1,10
10,8,7,9,8,133,2,0,1,0,14.51,13.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,1,11
11,8,7,9,8,138,2,0,1,0,14.0,13.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,1,12
12,8,7,9,8,140,2,0,1,0,14.99,15.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,1,13
13,8,7,9,8,134,2,0,1,0,14.99,14.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,1,14
14,8,7,9,8,137,2,0,1,0,14.51,16.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,1,15
15,11,9,12,10,137,2,0,1,1,14.51,14.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,2,1
16,14,9,15,10,140,2,0,1,1,14.51,19.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,2,2
17,17,11,19,12,146,2,0,1,1,14.99,23.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,2,3
18,20,13,22,14,150,2,0,1,1,14.99,21.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,2,4
19,23,15,25,16,148,2,0,1,1,15.47,24.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,2,5
20,26,17,28,18,148,2,0,1,1,14.99,25.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,2,6
21,29,19,31,20,151,2,0,1,1,15.47,27.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,2,7
22,32,21,34,22,159,2,0,1,1,15.95,32.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,2,8
23,35,23,37,24,163,2,0,1,1,15.5,37.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,2,9
24,38,25,40,26,172,2,0,1,1,15.98,48.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,2,10
25,41,27,43,28,163,2,0,1,1,16.0,31.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,2,11
26,44,29,46,30,170,2,0,1,1,15.5,42.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,2,12
27,47,31,49,32,165,2,0,1,1,16.0,40.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,2,13
28,50,33,52,34,181,2,0,1,1,16.48,56.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,2,14
29,53,35,55,36,181,2,0,1,1,16.48,52.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,2,15
30,22,11,24,12,144,2,0,1,5,14.99,21.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,3,1
31,20,14,22,15,150,2,0,1,1,14.99,21.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,3,2
32,24,15,26,16,152,2,0,1,1,15.47,25.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,3,3
33,27,17,29,18,155,2,0,1,1,15.47,31.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,3,4
34,30,19,32,20,160,2,0,1,1,15.98,31.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,3,5
35,33,21,35,22,157,2,0,1,1,16.0,30.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,3,6
36,36,23,38,24,168,2,0,1,1,16.0,34.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,3,7
37,39,25,41,26,161,2,0,1,1,15.5,36.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,3,8
38,42,27,44,28,170,2,0,1,1,15.98,42.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,3,9
39,45,29,47,30,172,2,0,1,1,15.98,38.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,3,10
40,48,31,50,32,181,2,0,1,1,15.98,55.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,3,11
41,51,33,53,34,173,2,0,1,1,15.98,44.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,3,12
42,54,35,56,36,175,2,0,1,1,16.0,46.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,3,13
43,57,37,59,38,186,2,0,1,1,16.48,54.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,3,14
44,60,39,62,40,181,2,0,1,1,16.96,44.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,3,15
45,30,17,31,18,160,2,0,1,7,14.99,36.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,4,1
46,25,16,27,17,152,2,0,1,1,15.47,27.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,4,2
47,29,17,31,18,166,2,0,1,1,15.98,36.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,4,3
48,32,19,34,20,160,2,0,1,1,16.0,33.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,4,4
49,35,21,37,22,163,2,0,1,1,16.0,35.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,4,5
50,38,23,40,24,182,2,0,1,1,15.5,51.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,4,6
51,41,25,43,26,160,2,0,1,1,16.48,34.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,4,7
52,44,27,46,28,173,2,0,1,1,16.0,46.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,4,8
53,47,29,49,30,172,2,0,1,1,16.0,45.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,4,9
54,50,31,52,32,180,2,0,1,1,16.0,46.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,4,10
55,53,33,55,34,177,2,0,1,1,16.96,50.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,4,11
56,56,35,58,36,175,2,0,1,1,16.96,46.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,4,12
57,59,37,61,38,172,2,0,1,1,16.96,48.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,4,13
58,62,39,64,40,186,2,0,1,1,16.96,54.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,4,14
59,65,41,67,42,190,2,0,1,1,17.44,54.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,4,15
60,34,19,35,20,155,2,0,1,7,15.47,29.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,5,1
61,29,18,31,19,159,2,0,1,1,15.95,33.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,5,2
62,33,19,35,20,160,2,0,1,1,16.0,33.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,5,3
63,36,21,38,22,160,2,0,1,1,15.5,37.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,5,4
64,39,23,41,24,178,2,0,1,1,15.98,47.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,5,5
65,42,25,44,26,173,2,0,1,1,15.98,47.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,5,6
66,45,27,47,28,168,2,0,1,1,16.0,43.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,5,7
67,48,29,50,30,190,2,0,1,1,16.96,60.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,5,8
68,51,31,53,32,181,2,0,1,1,16.96,53.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,5,9
69,54,33,56,34,187,2,0,1,1,16.96,46.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,5,10
70,57,35,59,36,176,2,0,1,1,16.96,50.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,5,11
71,60,37,62,38,199,2,0,1,1,17.44,66.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,5,12
72,63,39,65,40,194,2,0,1,1,17.44,60.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,5,13
73,66,41,68,42,192,2,0,1,1,17.47,55.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,5,14
74,69,43,71,44,188,2,0,1,1,17.44,54.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,5,15
75,38,21,39,22,178,2,0,1,8,15.5,48.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,6,1
76,33,20,35,21,158,2,0,1,1,15.5,32.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,6,2
77,37,21,39,22,163,2,0,1,1,15.5,36.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,6,3
78,40,23,42,24,177,2,0,1,1,16.48,52.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,6,4
79,43,25,45,26,171,2,0,1,1,16.48,45.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,6,5
80,46,27,48,28,170,2,0,1,1,16.0,39.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,6,6
81,49,29,51,30,181,2,0,1,1,16.96,54.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,6,7
82,52,31,54,32,177,2,0,1,1,16.96,43.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,6,8
83,55,33,57,34,188,2,0,1,1,16.96,65.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,6,9
84,58,35,60,36,176,2,0,1,1,17.44,49.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,6,10
85,61,37,63,38,190,2,0,1,1,17.44,57.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,6,11
86,64,39,66,40,194,2,0,1,1,17.44,62.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,6,12
87,67,41,69,42,200,2,0,1,1,17.92,60.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,6,13
88,70,43,72,44,202,2,0,1,1,17.92,64.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,6,14
89,73,45,75,46,200,2,0,1,1,17.92,67.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,6,15
90,42,23,43,24,164,2,0,1,9,16.0,37.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,7,1
91,37,22,39,23,180,2,0,1,1,15.5,47.0,True,new,experiments/results/TL_2_2/pytorch_sgd/11.onnx,TL,7,2
