,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,11.0,7.0,15.0,8.0,135.0,3.0,0.0,1.0,4.0,13.5,15.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,1,1,0
1,22.0,10.0,37.0,12.0,159.0,10.0,0.0,2.0,4.0,14.99,37.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,1,2,0
2,35.0,14.0,68.0,18.0,173.0,23.0,0.0,6.0,6.0,15.95,42.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,1,3,0
3,65.0,23.0,140.0,36.0,228.0,60.0,0.0,5.0,12.0,17.44,79.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,1,4,0
4,97.0,37.0,232.0,65.0,260.0,89.0,0.0,14.0,25.0,20.96,105.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,1,5,0
5,150.0,52.0,372.0,98.0,305.0,139.0,0.0,28.0,28.0,25.44,134.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,1,6,0
6,192.0,48.0,493.0,82.0,337.0,198.0,0.0,35.0,32.0,17.57,146.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,1,7,0
7,245.0,77.0,656.0,148.0,390.0,287.0,0.0,45.0,29.0,28.55,175.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,1,8,0
8,311.0,67.0,840.0,116.0,420.0,366.0,0.0,54.0,46.0,39.56,197.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,1,9,0
9,362.0,78.0,977.0,136.0,486.0,471.0,0.0,48.0,44.0,55.51,218.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,1,10,0
10,457.0,122.0,1265.0,238.0,582.0,645.0,0.0,42.0,57.0,90.57,231.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,1,11,0
11,558.0,139.0,1566.0,272.0,692.0,784.0,0.0,37.0,113.0,128.54,275.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,1,12,0
12,630.0,86.0,1770.0,148.0,758.0,939.0,0.0,13.0,127.0,149.56,296.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,1,13,0
13,749.0,172.0,2137.0,336.0,932.0,1130.0,0.0,14.0,174.0,107.24,348.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,1,14,0
14,835.0,176.0,2381.0,336.0,1117.0,1275.0,0.0,8.0,172.0,146.25,437.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,1,15,0
15,21.0,9.0,28.0,10.0,147.0,5.0,0.0,1.0,8.0,14.99,22.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,2,1,0
16,67.0,14.0,137.0,18.0,206.0,47.0,0.0,5.0,14.0,18.48,58.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,2,2,0
17,594.0,201.0,1675.0,495.0,952.0,718.0,0.0,105.0,228.0,35.82,409.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,2,3,0
18,1074.0,105.0,3451.0,204.0,2416.0,2003.0,0.0,1.0,297.0,74.43,691.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,2,4,0
19,,,,,,,,,,,,False,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,2,5,0
20,68.0,27.0,109.0,40.0,192.0,16.0,0.0,1.0,29.0,16.96,57.0,True,new,experiments/results/TL_2_2/pytorch_sgd/0.onnx,TL,3,1,0
