,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,avg q,idx,ra 1,ra 2,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,279,49,540,83,438,81,0,10,146,57.53,182.0,new,e,TL,2,2,2.6414101123809814,2000,1e-06,20,0.1,0.20796694,0,-0.615274,-0.207392,1.4217479,-0.9964277,-1.640524,0.8825583,0.40155905,-0.007132588,-2.1817772,-0.9984859,2.9802322e-08,-0.0345757,-0.5063224
1,9151,136,17494,262,213150,2671,0,61,4045,477.99,195390.0,new,e,TL,3,3,2.6414101123809814,2000,1e-06,20,0.1,0.20796694,0,-0.615274,-0.207392,1.4217479,-0.9964277,-1.640524,0.8825583,0.40155905,-0.007132588,-2.1817772,-0.9984859,2.9802322e-08,-0.0345757,-0.5063224
2,278,44,538,71,426,87,0,11,147,56.55,175.0,new,e,TL,2,2,5.273681402206421,4000,1e-06,20,0.1,0.1599006,1,-0.64024895,-0.2020447,1.4092915,-1.0443648,-1.7032723,0.894248,0.42432997,0.03435331,-2.1500127,-1.0234709,1.4901161e-08,-0.008201323,-0.5375201
3,9415,220,19073,469,241645,3149,0,91,4482,487.84,218758.0,new,e,TL,3,3,5.273681402206421,4000,1e-06,20,0.1,0.1599006,1,-0.64024895,-0.2020447,1.4092915,-1.0443648,-1.7032723,0.894248,0.42432997,0.03435331,-2.1500127,-1.0234709,1.4901161e-08,-0.008201323,-0.5375201
4,266,16,444,21,377,68,0,4,117,46.53,147.0,new,e,TL,2,2,7.881934881210327,6000,1e-06,20,0.1,0.11040977,2,-0.6682732,-0.20616853,1.392921,-1.0773695,-1.7610165,0.9042087,0.44433036,0.08375378,-2.11641,-1.0465906,0.0,0.021242216,-0.5702032
5,9953,26,21215,36,271635,3808,0,5,5111,513.7,242902.0,new,e,TL,3,3,7.881934881210327,6000,1e-06,20,0.1,0.11040977,2,-0.6682732,-0.20616853,1.392921,-1.0773695,-1.7610165,0.9042087,0.44433036,0.08375378,-2.11641,-1.0465906,0.0,0.021242216,-0.5702032
6,100,20,124,25,197,11,0,6,33,25.14,37.0,new,e,TL,2,2,10.435171604156494,8000,1e-06,20,0.1,0.059511006,3,-0.704333,-0.20968544,1.3715544,-1.1079351,-1.8134999,0.91176254,0.46239722,0.13639599,-2.0792801,-1.0637844,-2.9802322e-08,0.050466172,-0.6030263
7,9756,22,21040,27,263382,3658,0,4,5132,444.12,234507.0,new,e,TL,3,3,10.435171604156494,8000,1e-06,20,0.1,0.059511006,3,-0.704333,-0.20968544,1.3715544,-1.1079351,-1.8134999,0.91176254,0.46239722,0.13639599,-2.0792801,-1.0637844,-2.9802322e-08,0.050466172,-0.6030263
8,236,61,417,119,328,3,0,86,104,30.54,131.0,new,e,TL,2,2,13.027899503707886,10000,1e-06,20,0.1,0.0073938854,4,-0.73371947,-0.22000924,1.3496267,-1.1326582,-1.8674563,0.912835,0.47911808,0.18977146,-2.0490382,-1.0796463,-2.9802322e-08,0.08023275,-0.63529134
9,9898,77,21858,136,273183,3730,0,38,5327,502.59,242746.0,new,e,TL,3,3,13.027899503707886,10000,1e-06,20,0.1,0.0073938854,4,-0.73371947,-0.22000924,1.3496267,-1.1326582,-1.8674563,0.912835,0.47911808,0.18977146,-2.0490382,-1.0796463,-2.9802322e-08,0.08023275,-0.63529134
