,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
0,199,13,279,16,319,13,0,1,52,20.61,114.0,new,experiments/results/TL_2_2/ra_feature2_target/0.onnx,TL,2,2,0.004314422607421875,0,1e-05,20,0.1,15,True,0
1,213,20,438,31,301,52,0,1,100,33.64,120.0,new,experiments/results/TL_2_2/ra_feature2_target/1.onnx,TL,2,2,67.8404495716095,50000,1e-05,20,0.1,15,True,1
2,95,15,135,18,211,35,0,1,13,24.18,37.0,new,experiments/results/TL_2_2/ra_feature2_target/2.onnx,TL,2,2,132.2703034877777,100000,1e-05,20,0.1,15,True,2
3,57,17,76,20,212,14,0,1,8,19.14,30.0,new,experiments/results/TL_2_2/ra_feature2_target/3.onnx,TL,2,2,195.53648924827576,150000,1e-05,20,0.1,15,True,3
4,43,17,60,20,176,15,0,1,8,18.18,24.0,new,experiments/results/TL_2_2/ra_feature2_target/4.onnx,TL,2,2,258.57551527023315,200000,1e-05,20,0.1,15,True,4
5,9,9,10,10,126,2,0,1,0,16.18,9.0,new,experiments/results/TL_2_2/ra_feature2_target/5.onnx,TL,2,2,321.8024971485138,250000,1e-05,20,0.1,15,True,5
6,9,9,10,10,145,2,0,1,0,16.18,6.0,new,experiments/results/TL_2_2/ra_feature2_target/6.onnx,TL,2,2,385.7516667842865,300000,1e-05,20,0.1,15,True,6
7,21,13,24,14,138,4,0,1,0,16.66,8.0,new,experiments/results/TL_2_2/ra_feature2_target/7.onnx,TL,2,2,450.4215884208679,350000,1e-05,20,0.1,15,True,7
8,9,9,10,10,143,2,0,1,0,16.18,6.0,new,experiments/results/TL_2_2/ra_feature2_target/8.onnx,TL,2,2,514.6041786670685,400000,1e-05,20,0.1,15,True,8
9,15,12,18,14,151,2,0,1,2,16.18,8.0,new,experiments/results/TL_2_2/ra_feature2_target/9.onnx,TL,2,2,579.9086971282959,450000,1e-05,20,0.1,15,True,9
10,10,9,11,10,126,2,0,1,0,16.18,5.0,new,experiments/results/TL_2_2/ra_feature2_target/10.onnx,TL,2,2,644.5021555423737,500000,1e-05,20,0.1,15,True,10
11,15,14,19,18,151,4,0,1,0,16.18,10.0,new,experiments/results/TL_2_2/ra_feature2_target/11.onnx,TL,2,2,708.7614996433258,550000,1e-05,20,0.1,15,True,11
12,17,12,20,14,134,3,0,1,1,16.18,9.0,new,experiments/results/TL_2_2/ra_feature2_target/12.onnx,TL,2,2,772.9878520965576,600000,1e-05,20,0.1,15,True,12
13,9,9,10,10,126,2,0,1,0,16.18,7.0,new,experiments/results/TL_2_2/ra_feature2_target/13.onnx,TL,2,2,836.3461389541626,650000,1e-05,20,0.1,15,True,13
14,25,9,32,10,139,3,0,1,2,16.66,11.0,new,experiments/results/TL_2_2/ra_feature2_target/14.onnx,TL,2,2,900.0861351490021,700000,1e-05,20,0.1,15,True,14
15,14,14,18,18,134,4,0,2,0,16.18,7.0,new,experiments/results/TL_2_2/ra_feature2_target/15.onnx,TL,2,2,963.0645430088043,750000,1e-05,20,0.1,15,True,15
16,23,9,29,10,137,5,0,1,1,16.66,11.0,new,experiments/results/TL_2_2/ra_feature2_target/16.onnx,TL,2,2,1026.0961155891418,800000,1e-05,20,0.1,15,True,16
17,18,13,26,16,145,3,0,1,0,16.66,11.0,new,experiments/results/TL_2_2/ra_feature2_target/17.onnx,TL,2,2,1089.6002411842346,850000,1e-05,20,0.1,15,True,17
18,72,14,89,18,200,9,0,1,8,20.18,25.0,new,experiments/results/TL_2_2/ra_feature2_target/18.onnx,TL,2,2,1154.275801897049,900000,1e-05,20,0.1,15,True,18
19,169,20,221,26,319,25,0,2,33,13.56,102.0,new,experiments/results/TL_2_2/ra_feature2_target/19.onnx,TL,2,2,1217.7026386260986,950000,1e-05,20,0.1,15,True,19
20,13,9,15,10,138,2,0,1,0,16.18,7.0,new,experiments/results/TL_2_2/ra_feature2_target/20.onnx,TL,2,2,1280.9075028896332,1000000,1e-05,20,0.1,15,True,20
21,20,9,27,10,137,6,0,1,0,16.66,12.0,new,experiments/results/TL_2_2/ra_feature2_target/21.onnx,TL,2,2,1344.7428464889526,1050000,1e-05,20,0.1,15,True,21
22,14,14,18,18,131,4,0,2,0,16.18,12.0,new,experiments/results/TL_2_2/ra_feature2_target/22.onnx,TL,2,2,1408.3582124710083,1100000,1e-05,20,0.1,15,True,22
23,16,9,22,10,156,5,0,1,0,16.18,10.0,new,experiments/results/TL_2_2/ra_feature2_target/23.onnx,TL,2,2,1472.097450017929,1150000,1e-05,20,0.1,15,True,23
