,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
0,6070,22,15174,30,64349,11,0,1,3667,481.71,58639.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/0.onnx,TL,3,3,0.010363578796386719,0,1e-05,20,0.1,15,True,0
1,11,11,12,12,130,2,0,1,0,16.66,5.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/5.onnx,TL,3,3,318.7312126159668,250000,1e-05,20,0.1,15,True,5
2,7669,262,11586,448,117892,1902,0,140,1671,497.72,106548.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/10.onnx,TL,3,3,637.9301645755768,500000,1e-05,20,0.1,15,True,10
3,54,11,76,12,180,11,0,1,0,20.66,24.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/15.onnx,TL,3,3,956.7906816005707,750000,1e-05,20,0.1,15,True,15
4,310,11,387,12,554,53,0,1,6,86.6,263.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/20.onnx,TL,3,3,1270.0638024806976,1000000,1e-05,20,0.1,15,True,20
5,184,21,250,25,374,36,0,1,8,34.56,115.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/25.onnx,TL,3,3,1585.2761824131012,1250000,1e-05,20,0.1,15,True,25
6,117,11,181,12,320,28,0,1,5,9.59,60.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/30.onnx,TL,3,3,1900.2391073703766,1500000,1e-05,20,0.1,15,True,30
7,56,11,66,12,182,4,0,1,1,20.66,20.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/35.onnx,TL,3,3,2289.73467874527,1750000,1e-05,20,0.1,15,True,35
8,216,27,364,39,377,53,0,11,3,43.57,141.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/40.onnx,TL,3,3,2661.045583963394,2000000,1e-05,20,0.1,15,True,40
9,131,11,164,12,256,13,0,1,0,12.6,63.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/45.onnx,TL,3,3,3126.686620235443,2250000,1e-05,20,0.1,15,True,45
10,4281,48,5531,58,27655,227,0,59,763,317.49,26470.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/50.onnx,TL,3,3,3479.12447309494,2500000,1e-05,20,0.1,15,True,50
11,43,14,62,16,222,6,0,2,2,19.62,26.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/55.onnx,TL,3,3,3861.6299307346344,2750000,1e-05,20,0.1,15,True,55
12,1548,60,1778,73,3512,44,0,22,154,136.48,3049.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/60.onnx,TL,3,3,4277.676602363586,3000000,1e-05,20,0.1,15,True,60
13,70,11,82,12,223,4,0,1,2,22.66,38.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/65.onnx,TL,3,3,4648.279381990433,3250000,1e-05,20,0.1,15,True,65
14,2544,80,3072,100,11983,33,0,163,322,195.13,11362.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/70.onnx,TL,3,3,4963.797387123108,3500000,1e-05,20,0.1,15,True,70
15,2873,150,3928,237,14358,14,0,236,666,310.04,13704.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/75.onnx,TL,3,3,5279.288455963135,3750000,1e-05,20,0.1,15,True,75
16,4021,203,4950,303,23964,58,0,203,638,371.36,23087.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/80.onnx,TL,3,3,5593.057791471481,4000000,1e-05,20,0.1,15,True,80
17,23,11,29,12,182,5,0,1,0,17.62,12.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/85.onnx,TL,3,3,5908.511164188385,4250000,1e-05,20,0.1,15,True,85
18,124,22,175,30,265,26,0,1,1,14.57,71.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/90.onnx,TL,3,3,6223.236243963242,4500000,1e-05,20,0.1,15,True,90
19,937,38,1185,45,1601,46,0,59,113,26.9,1221.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/95.onnx,TL,3,3,6538.194559574127,4750000,1e-05,20,0.1,15,True,95
20,3627,176,4663,238,19745,58,0,286,539,219.31,18981.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/100.onnx,TL,3,3,6852.880919933319,5000000,1e-05,20,0.1,15,True,100
21,3879,378,5411,614,22291,57,0,641,738,290.26,21413.0,new,experiments/results/TL_2_2/ra_feature2opt_2h/105.onnx,TL,3,3,7170.730415344238,5250000,1e-05,20,0.1,15,True,105
