,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx
0,0.010363578796386719,0,1e-05,20,0.1,15,True,0.50517577,0
1,67.47710800170898,50000,1e-05,20,0.1,15,True,-78.21357,1
2,131.1015145778656,100000,1e-05,20,0.1,15,True,-37.89124,2
3,193.32940673828125,150000,1e-05,20,0.1,15,True,-29.370367,3
4,256.01744389533997,200000,1e-05,20,0.1,15,True,-15.095503,4
5,318.7312126159668,250000,1e-05,20,0.1,15,True,-5.2786655,5
6,383.0498523712158,300000,1e-05,20,0.1,15,True,-70.72517,6
7,446.3501179218292,350000,1e-05,20,0.1,15,True,-4.8221774,7
8,510.1281542778015,400000,1e-05,20,0.1,15,True,-51.07847,8
9,573.7575495243073,450000,1e-05,20,0.1,15,True,-8.9334135,9
10,637.9301645755768,500000,1e-05,20,0.1,15,True,-32.43814,10
11,701.9761507511139,550000,1e-05,20,0.1,15,True,-26.930088,11
12,765.6006257534027,600000,1e-05,20,0.1,15,True,-17.007612,12
13,829.5722503662109,650000,1e-05,20,0.1,15,True,-7.5196705,13
14,893.7416379451752,700000,1e-05,20,0.1,15,True,-19.778397,14
15,956.7906816005707,750000,1e-05,20,0.1,15,True,-26.062542,15
16,1019.4386894702911,800000,1e-05,20,0.1,15,True,-27.688135,16
17,1081.6425087451935,850000,1e-05,20,0.1,15,True,-25.671965,17
18,1144.0243916511536,900000,1e-05,20,0.1,15,True,-34.57627,18
19,1207.1403901576996,950000,1e-05,20,0.1,15,True,-4.462958,19
20,1270.0638024806976,1000000,1e-05,20,0.1,15,True,-27.197166,20
21,1332.9291441440582,1050000,1e-05,20,0.1,15,True,-31.429249,21
22,1396.2047646045685,1100000,1e-05,20,0.1,15,True,-6.629137,22
23,1459.3211867809296,1150000,1e-05,20,0.1,15,True,-26.749197,23
24,1522.1788473129272,1200000,1e-05,20,0.1,15,True,-9.342454,24
25,1585.2761824131012,1250000,1e-05,20,0.1,15,True,-35.57039,25
26,1647.882592201233,1300000,1e-05,20,0.1,15,True,-13.199913,26
27,1710.6557567119598,1350000,1e-05,20,0.1,15,True,-27.526297,27
28,1773.9013540744781,1400000,1e-05,20,0.1,15,True,-28.920866,28
29,1836.9828095436096,1450000,1e-05,20,0.1,15,True,-5.423526,29
30,1900.2391073703766,1500000,1e-05,20,0.1,15,True,-26.497263,30
31,1962.9418206214905,1550000,1e-05,20,0.1,15,True,-8.49788,31
32,2042.5990643501282,1600000,1e-05,20,0.1,15,True,-24.350485,32
33,2116.8707406520844,1650000,1e-05,20,0.1,15,True,-14.591545,33
34,2198.8835542201996,1700000,1e-05,20,0.1,15,True,-16.054752,34
35,2289.73467874527,1750000,1e-05,20,0.1,15,True,-6.040108,35
36,2363.347329378128,1800000,1e-05,20,0.1,15,True,-23.77153,36
37,2444.60649228096,1850000,1e-05,20,0.1,15,True,-14.7879715,37
38,2511.9743671417236,1900000,1e-05,20,0.1,15,True,-23.20336,38
39,2585.956275701523,1950000,1e-05,20,0.1,15,True,-10.16379,39
40,2661.045583963394,2000000,1e-05,20,0.1,15,True,-29.96674,40
41,2768.988977432251,2050000,1e-05,20,0.1,15,True,-10.372892,41
42,2844.0249543190002,2100000,1e-05,20,0.1,15,True,-8.920332,42
43,2927.198954343796,2150000,1e-05,20,0.1,15,True,-31.949694,43
44,3021.425525903702,2200000,1e-05,20,0.1,15,True,-16.60029,44
45,3126.686620235443,2250000,1e-05,20,0.1,15,True,-19.550476,45
46,3204.488895177841,2300000,1e-05,20,0.1,15,True,-19.51464,46
47,3273.894033908844,2350000,1e-05,20,0.1,15,True,-15.524395,47
48,3345.928596019745,2400000,1e-05,20,0.1,15,True,-32.95505,48
49,3412.1341409683228,2450000,1e-05,20,0.1,15,True,-35.916084,49
50,3479.12447309494,2500000,1e-05,20,0.1,15,True,-14.177128,50
51,3551.930943250656,2550000,1e-05,20,0.1,15,True,-12.675069,51
52,3637.899927139282,2600000,1e-05,20,0.1,15,True,-12.9458275,52
53,3719.0824613571167,2650000,1e-05,20,0.1,15,True,-12.29116,53
