,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,avg q,idx,ra 1,ra 2,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,40,9,56,10,186,13,0,1,5,18.66,20.0,new,ra_feature_2h0,TL,2,2,61.05370306968689,50000,1e-05,20,0.1,13,True,-39.702766,0,-0.8904129,-2.4957414,0.44347596,-0.35301214,-0.96012855,-0.09920895,1.7473238,0.1597149,-3.4428234,-2.0199146,-2.3841858e-07,-3.6867454,-2.2840781
1,90,19,125,24,232,23,0,1,21,26.66,69.0,new,ra_feature_2h1,TL,2,2,122.61164450645447,100000,1e-05,20,0.1,13,True,-69.62006,1,-0.6555944,-1.6209416,0.74946755,-0.80042946,-0.9913537,-0.6170793,1.6288245,-1.0586431,-3.992203,-2.8227696,4.7683716e-07,-4.7532864,-3.3592138
2,38,12,47,14,181,7,0,1,5,18.19,17.0,new,ra_feature_2h2,TL,2,2,184.4287703037262,150000,1e-05,20,0.1,13,True,-81.56293,2,-0.47197607,-0.7019779,0.80881715,-0.20780377,-0.6399164,-0.47888356,1.3535011,-2.3387008,-4.6204586,-2.8437881,9.536743e-07,-4.1941657,-3.7698638
3,23,14,34,18,146,7,0,1,3,17.14,15.0,new,ra_feature_2h3,TL,2,2,246.13517808914185,200000,1e-05,20,0.1,13,True,-45.741085,3,0.08764558,0.8691768,0.7345638,0.513002,-0.17705339,-0.008307815,1.1855803,-1.6158935,-3.6688871,-1.2763865,7.1525574e-07,-2.4948688,-2.0464349
4,10,9,11,10,128,2,0,1,1,16.18,7.0,new,ra_feature_2h4,TL,2,2,307.87645983695984,250000,1e-05,20,0.1,13,True,-14.889496,4,0.09980913,1.3282024,0.4792931,0.4986973,0.9324567,0.5851021,1.4797233,-1.7857937,-1.6233333,-0.25375903,7.1525574e-07,-2.6404042,-0.034656107
5,9,9,10,10,126,2,0,1,0,16.19,7.0,new,ra_feature_2h5,TL,2,2,371.3054928779602,300000,1e-05,20,0.1,13,True,-15.75744,5,-0.057806816,0.87829274,0.6289941,0.41494167,0.2054494,0.5194174,1.4202775,-2.1114712,-1.6717676,-0.65258914,7.1525574e-07,-3.29563,0.0075054467
6,11,9,12,10,148,2,0,1,2,16.18,8.0,new,ra_feature_2h6,TL,2,2,433.7559690475464,350000,1e-05,20,0.1,13,True,-14.096428,6,-0.17975102,0.87590957,0.8265189,0.4517669,-0.16383672,0.78096414,1.6701396,-1.9672363,-1.9511254,-0.9420437,7.1525574e-07,-2.2962334,-0.5227995
7,9,9,10,10,151,2,0,1,0,16.19,9.0,new,ra_feature_2h7,TL,2,2,497.0741763114929,400000,1e-05,20,0.1,13,True,-8.921333,7,-0.07820767,1.1730381,0.95520097,0.48503637,-0.16908559,0.6440321,1.277067,-2.4001071,-2.1557243,-1.1868265,1.0728836e-06,-1.8155862,-0.44976172
8,9,9,10,10,130,2,0,1,0,16.19,6.0,new,ra_feature_2h8,TL,2,2,560.1933073997498,450000,1e-05,20,0.1,13,True,-8.386333,8,-0.034631472,1.1645298,0.8017029,0.28037912,0.0807348,0.6738243,1.3226001,-2.392591,-2.5649598,-1.4078541,9.536743e-07,-2.0516653,-0.89812887
9,9,9,10,10,170,2,0,1,0,16.19,6.0,new,ra_feature_2h9,TL,2,2,623.2544322013855,500000,1e-05,20,0.1,13,True,-12.914329,9,-0.12027062,0.8789461,0.74971735,0.32346556,-0.008739181,0.62483466,1.4043688,-2.3893464,-3.0488546,-1.6234989,9.536743e-07,-2.4610314,-1.7604403
10,129,11,150,12,235,13,0,1,15,10.54,66.0,new,ra_feature_2h10,TL,2,2,686.7445657253265,550000,1e-05,20,0.1,13,True,-17.845156,10,-0.23643783,0.8089925,0.972609,0.1419653,-0.47281027,0.1637455,1.2993464,-2.399014,-3.208084,-2.0043194,7.1525574e-07,-3.1817167,-1.8396627
11,10,9,11,10,132,2,0,1,0,16.18,8.0,new,ra_feature_2h11,TL,2,2,749.6455035209656,600000,1e-05,20,0.1,13,True,-10.969631,11,-0.03377998,1.0502706,0.7629912,0.24230084,0.0062218606,0.40816253,1.2404639,-2.4697046,-3.1255078,-1.7778604,9.536743e-07,-2.4191704,-1.5965166
12,9,9,10,10,129,2,0,1,0,16.19,7.0,new,ra_feature_2h12,TL,2,2,813.0077435970306,650000,1e-05,20,0.1,13,True,-14.874055,12,-0.050700914,0.86237705,0.64758873,0.3567066,-0.07477925,0.3274486,1.3317851,-2.3180747,-3.3245919,-1.9946377,9.536743e-07,-2.8638604,-1.9253081
13,14,9,16,10,138,2,0,1,0,16.18,12.0,new,ra_feature_2h13,TL,2,2,876.2933897972107,700000,1e-05,20,0.1,13,True,-16.67845,13,-0.030931672,0.9400215,0.8756561,0.31246242,-0.24630213,0.23194611,1.1991721,-2.3540196,-3.5097198,-1.9441285,9.536743e-07,-3.4311874,-2.0896902
14,10,9,11,10,151,2,0,1,0,16.18,8.0,new,ra_feature_2h14,TL,2,2,939.4572956562042,750000,1e-05,20,0.1,13,True,-14.606343,14,0.021554997,1.0633645,0.65003633,0.32945627,-0.11584545,0.318649,1.1306962,-2.3020136,-3.3401906,-1.941203,9.536743e-07,-3.0240135,-1.7793142
15,10,9,11,10,131,2,0,1,0,16.18,6.0,new,ra_feature_2h15,TL,2,2,1002.2114722728729,800000,1e-05,20,0.1,13,True,-9.07137,15,0.18831089,1.2324255,0.6420087,0.32738104,0.14847428,0.24481612,1.0824413,-2.0501697,-2.8611565,-1.6897682,9.536743e-07,-2.0964334,-1.0991086
16,9,9,10,10,154,2,0,1,0,16.19,5.0,new,ra_feature_2h16,TL,2,2,1064.7937941551208,850000,1e-05,20,0.1,13,True,-15.484098,16,-0.041356046,0.81875026,0.71332395,0.58148545,0.23922683,0.43331835,1.0765562,-2.53917,-3.4733698,-1.7837381,9.536743e-07,-2.8455064,-1.9356114
17,10,9,11,10,164,2,0,1,0,16.18,10.0,new,ra_feature_2h17,TL,2,2,1126.9802367687225,900000,1e-05,20,0.1,13,True,-13.92962,17,0.1135715,1.0799325,0.71212053,0.58581895,0.40017658,0.13173312,0.9713336,-2.4340925,-3.1253135,-1.7108557,1.1920929e-06,-2.3541577,-1.3965646
18,23,12,28,14,164,2,0,1,2,16.66,14.0,new,ra_feature_2h18,TL,2,2,1189.8388557434082,950000,1e-05,20,0.1,13,True,-22.722767,18,-0.12308065,0.80744356,0.72668064,0.3582328,-0.5386682,0.12491253,1.6398474,-2.3869245,-3.3225176,-1.8142335,9.536743e-07,-3.40579,-2.3925998
19,25,12,34,14,180,6,0,1,1,17.14,17.0,new,ra_feature_2h19,TL,2,2,1251.567749261856,1000000,1e-05,20,0.1,13,True,-30.69471,19,-0.2755619,0.55760753,0.9560058,0.40224913,-0.6331043,-0.35601145,1.2421929,-2.487253,-3.5223947,-1.9225154,9.536743e-07,-4.0432887,-2.7870307
20,12,9,13,10,131,2,0,1,1,16.18,8.0,new,ra_feature_2h20,TL,2,2,1314.318498134613,1050000,1e-05,20,0.1,13,True,-16.826778,20,-0.10492558,0.70173854,0.49484637,0.86731756,-0.11057251,0.23118661,1.3493658,-2.8299608,-3.31558,-1.865993,1.1920929e-06,-3.2898774,-2.1040492
21,280,14,348,18,402,17,0,1,104,40.56,184.0,new,ra_feature_2h21,TL,2,2,1378.8274290561676,1100000,1e-05,20,0.1,13,True,-15.672411,21,0.19567177,1.2172294,0.5826766,0.96717095,0.07407326,0.09583947,1.0068203,-2.5690427,-3.0220447,-1.8357356,9.536743e-07,-2.7694387,-1.2143016
22,21,11,23,12,138,2,0,1,4,16.66,8.0,new,ra_feature_2h22,TL,2,2,1450.1141064167023,1150000,1e-05,20,0.1,13,True,-17.84807,22,-0.062248074,1.0553392,0.6285004,1.0208352,-0.38417828,0.21699008,1.233428,-2.7114985,-3.3160508,-1.9661381,9.536743e-07,-3.2736409,-2.0701678
23,22,12,27,14,141,2,0,1,1,16.66,13.0,new,ra_feature_2h23,TL,2,2,1522.496238708496,1200000,1e-05,20,0.1,13,True,-26.874624,23,-0.14464426,0.6121839,0.80825484,0.35499835,-0.32327163,0.19958818,1.2600608,-2.5153816,-3.6514664,-2.0932024,7.1525574e-07,-3.2585895,-2.671011
24,11,9,12,10,164,2,0,1,0,16.18,6.0,new,ra_feature_2h24,TL,2,2,1588.806009054184,1250000,1e-05,20,0.1,13,True,-12.757814,24,0.12971905,0.88532114,0.5059252,1.3949323,0.33335575,0.16793573,0.9375207,-3.1968942,-3.5520895,-1.8961694,1.1920929e-06,-2.8512042,-2.139036
25,20,9,28,10,161,2,0,1,2,16.66,12.0,new,ra_feature_2h25,TL,2,2,1650.7249908447266,1300000,1e-05,20,0.1,13,True,-23.459385,25,-0.25922036,0.66332805,0.6585016,1.0269082,-0.3662538,-0.041715235,0.89567363,-2.4852154,-3.616949,-2.0019417,9.536743e-07,-3.98314,-2.4541864
26,11,9,12,10,131,2,0,1,0,16.18,8.0,new,ra_feature_2h26,TL,2,2,1712.680244922638,1350000,1e-05,20,0.1,13,True,-13.998873,26,-0.00019800763,0.9757488,0.6550802,1.0772537,0.053077415,0.29704976,0.7929589,-2.5368,-3.2762895,-1.6854763,7.1525574e-07,-2.7719615,-1.8378345
27,11,9,12,10,130,2,0,1,0,16.18,9.0,new,ra_feature_2h27,TL,2,2,1773.587319135666,1400000,1e-05,20,0.1,13,True,-24.611462,27,-0.3406864,0.85904074,0.6224617,0.46171287,-0.9411302,0.07639688,1.1849118,-1.333131,-2.8858452,-1.4583216,4.7683716e-07,-3.0183938,-2.0105553
28,14,9,15,10,151,2,0,1,5,16.18,7.0,new,ra_feature_2h28,TL,2,2,1834.1640849113464,1450000,1e-05,20,0.1,13,True,-19.235601,28,0.14266507,0.9365003,0.69565094,0.80757093,-0.30379784,-0.099304855,0.7724353,-1.827244,-2.9958527,-1.4349623,7.1525574e-07,-2.8315027,-1.458947
29,11,9,12,10,147,2,0,1,0,16.18,6.0,new,ra_feature_2h29,TL,2,2,1894.8559834957123,1500000,1e-05,20,0.1,13,True,-23.405182,29,-0.262334,0.8720098,0.59799314,0.4624657,-0.7711837,0.17297223,1.2255112,-1.2976173,-2.7336926,-1.2626754,4.7683716e-07,-2.5747268,-2.0132654
30,22,12,27,14,165,2,0,1,5,16.66,13.0,new,ra_feature_2h30,TL,2,2,1955.0893745422363,1550000,1e-05,20,0.1,13,True,-24.09423,30,-0.2661631,1.0446916,0.6317358,0.3606816,-0.93628466,0.1237033,1.1564766,-1.063306,-2.706594,-1.2507994,4.7683716e-07,-2.4369364,-1.976932
31,31,16,46,20,182,11,0,3,2,17.7,14.0,new,ra_feature_2h31,TL,2,2,2015.000174999237,1600000,1e-05,20,0.1,13,True,-12.272011,31,0.05150254,0.5251566,0.45443124,1.8277783,0.2654211,-0.718499,0.27385816,-0.61787695,-1.7673604,-0.5423205,2.3841858e-07,-1.6592034,-0.3260074
32,11,9,12,10,147,2,0,1,0,16.18,8.0,new,ra_feature_2h32,TL,2,2,2074.867371082306,1650000,1e-05,20,0.1,13,True,-17.612066,32,0.066537105,0.3008898,0.48655167,1.1797478,0.09200958,-0.7208563,0.6356999,0.5569527,-1.7417736,-0.8654687,-2.3841858e-07,-2.837823,-0.40823045
33,20,12,24,14,139,2,0,1,5,16.66,9.0,new,ra_feature_2h33,TL,2,2,2135.5936086177826,1700000,1e-05,20,0.1,13,True,-20.402374,33,0.048303716,0.64885986,0.50337076,0.83841205,-0.60860604,-0.6701368,0.91321576,1.284577,-1.1702806,-0.6634723,-7.1525574e-07,-3.2723398,-0.21904239
34,21,18,30,27,160,7,0,1,2,17.14,10.0,new,ra_feature_2h34,TL,2,2,2196.221532344818,1750000,1e-05,20,0.1,13,True,-16.30447,34,0.14528365,0.2675001,0.20762853,2.0969396,-0.039415523,-1.1082634,0.018416079,1.2908356,-0.1222801,-0.67210615,-7.1525574e-07,-2.6114028,0.8578651
35,213,14,272,18,285,12,0,6,76,19.58,89.0,new,ra_feature_2h35,TL,2,2,2256.154493331909,1800000,1e-05,20,0.1,13,True,-13.049376,35,0.21279661,0.42398408,0.44910967,2.2156832,-0.17399669,-0.78222233,0.46852693,0.7158334,0.21136022,-0.33685535,-2.3841858e-07,-2.405915,1.118973
