,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,ra feature,idx
0,231,9,376,10,292,28,0,1,115,27.58,111.0,new,experiments/results/TL_2_2/ra_feature_2h/0.onnx,TL,2,2,71.17650985717773,50000,1e-05,20,0.1,14,True,0
1,65,12,109,14,212,32,0,1,17,22.67,34.0,new,experiments/results/TL_2_2/ra_feature_2h/1.onnx,TL,2,2,137.47654914855957,100000,1e-05,20,0.1,14,True,1
2,93,24,128,33,232,27,0,1,17,25.14,34.0,new,experiments/results/TL_2_2/ra_feature_2h/2.onnx,TL,2,2,202.02262902259827,150000,1e-05,20,0.1,14,True,2
3,44,14,57,15,157,12,0,1,9,18.66,22.0,new,experiments/results/TL_2_2/ra_feature_2h/3.onnx,TL,2,2,264.6416816711426,200000,1e-05,20,0.1,14,True,3
4,12,9,13,10,153,2,0,1,2,16.18,10.0,new,experiments/results/TL_2_2/ra_feature_2h/4.onnx,TL,2,2,326.51637029647827,250000,1e-05,20,0.1,14,True,4
5,11,9,12,10,128,2,0,1,2,16.18,4.0,new,experiments/results/TL_2_2/ra_feature_2h/5.onnx,TL,2,2,399.27866435050964,300000,1e-05,20,0.1,14,True,5
6,243,13,424,16,390,38,0,1,128,29.62,149.0,new,experiments/results/TL_2_2/ra_feature_2h/6.onnx,TL,2,2,475.8254220485687,350000,1e-05,20,0.1,14,True,6
7,93,28,151,43,201,39,0,1,25,26.18,43.0,new,experiments/results/TL_2_2/ra_feature_2h/7.onnx,TL,2,2,541.6640727519989,400000,1e-05,20,0.1,14,True,7
8,12,9,13,10,131,2,0,1,3,16.18,6.0,new,experiments/results/TL_2_2/ra_feature_2h/8.onnx,TL,2,2,608.6483945846558,450000,1e-05,20,0.1,14,True,8
9,9,9,10,10,158,2,0,1,0,16.19,6.0,new,experiments/results/TL_2_2/ra_feature_2h/9.onnx,TL,2,2,682.936012506485,500000,1e-05,20,0.1,14,True,9
10,11,9,12,10,144,2,0,1,0,16.18,7.0,new,experiments/results/TL_2_2/ra_feature_2h/10.onnx,TL,2,2,758.0092425346375,550000,1e-05,20,0.1,14,True,10
11,18,14,22,18,158,2,0,4,4,16.18,9.0,new,experiments/results/TL_2_2/ra_feature_2h/11.onnx,TL,2,2,828.4542193412781,600000,1e-05,20,0.1,14,True,11
12,92,17,159,22,238,50,0,1,27,26.19,40.0,new,experiments/results/TL_2_2/ra_feature_2h/12.onnx,TL,2,2,899.3537731170654,650000,1e-05,20,0.1,14,True,12
13,12,9,13,10,153,2,0,1,3,16.18,5.0,new,experiments/results/TL_2_2/ra_feature_2h/13.onnx,TL,2,2,967.5443994998932,700000,1e-05,20,0.1,14,True,13
14,11,9,12,10,131,2,0,1,1,16.18,8.0,new,experiments/results/TL_2_2/ra_feature_2h/14.onnx,TL,2,2,1040.4884638786316,750000,1e-05,20,0.1,14,True,14
15,10,9,11,10,128,2,0,1,1,16.18,6.0,new,experiments/results/TL_2_2/ra_feature_2h/15.onnx,TL,2,2,1114.6082162857056,800000,1e-05,20,0.1,14,True,15
16,18,14,22,18,134,2,0,4,4,16.18,7.0,new,experiments/results/TL_2_2/ra_feature_2h/16.onnx,TL,2,2,1188.5357820987701,850000,1e-05,20,0.1,14,True,16
17,11,9,12,10,129,2,0,1,2,16.18,8.0,new,experiments/results/TL_2_2/ra_feature_2h/17.onnx,TL,2,2,1253.7854368686676,900000,1e-05,20,0.1,14,True,17
18,20,12,24,14,143,2,0,4,4,16.66,13.0,new,experiments/results/TL_2_2/ra_feature_2h/18.onnx,TL,2,2,1319.5122225284576,950000,1e-05,20,0.1,14,True,18
