,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,10.0,7.0,12.0,8.0,28.0,2.0,0.0,1.0,3.0,10.0,3.0,False,new,mock,TL,1,1
1,24.0,14.0,44.0,21.0,33.0,8.0,0.0,2.0,10.0,10.48,5.0,False,new,mock,TL,1,2
2,44.0,18.0,79.0,27.0,40.0,9.0,0.0,4.0,13.0,10.96,3.0,False,new,mock,TL,1,3
3,17.0,7.0,18.0,8.0,28.0,2.0,0.0,1.0,0.0,10.48,2.0,False,new,mock,TL,1,4
4,95.0,7.0,165.0,8.0,64.0,38.0,0.0,1.0,7.0,13.44,16.0,False,new,mock,TL,1,5
5,50.0,7.0,77.0,8.0,42.0,6.0,0.0,1.0,0.0,10.96,7.0,False,new,mock,TL,1,6
6,90.0,7.0,141.0,8.0,55.0,17.0,0.0,1.0,0.0,11.44,13.0,False,new,mock,TL,1,7
7,252.0,22.0,537.0,38.0,110.0,134.0,0.0,1.0,22.0,14.08,17.0,False,new,mock,TL,1,8
8,48.0,7.0,63.0,8.0,35.0,5.0,0.0,1.0,0.0,10.48,7.0,False,new,mock,TL,1,9
9,164.0,7.0,321.0,8.0,72.0,90.0,0.0,1.0,0.0,19.92,17.0,False,new,mock,TL,1,10
10,49.0,10.0,71.0,12.0,38.0,7.0,0.0,1.0,0.0,10.96,7.0,False,new,mock,TL,1,11
11,22.0,7.0,30.0,8.0,30.0,2.0,0.0,1.0,0.0,10.49,3.0,False,new,mock,TL,1,12
12,42.0,7.0,49.0,8.0,34.0,2.0,0.0,1.0,0.0,10.49,3.0,False,new,mock,TL,1,13
13,183.0,7.0,343.0,8.0,67.0,72.0,0.0,1.0,0.0,18.48,16.0,False,new,mock,TL,1,14
14,11.0,7.0,12.0,8.0,28.0,2.0,0.0,1.0,0.0,10.48,1.0,False,new,mock,TL,1,15
15,35.0,13.0,49.0,16.0,34.0,4.0,0.0,1.0,15.0,10.48,3.0,False,new,mock,TL,2,1
16,154.0,17.0,264.0,22.0,71.0,40.0,0.0,1.0,51.0,17.44,12.0,False,new,mock,TL,2,2
17,581.0,9.0,1245.0,10.0,269.0,285.0,0.0,11.0,175.0,89.46,35.0,False,new,mock,TL,2,3
18,280.0,18.0,415.0,24.0,78.0,25.0,0.0,1.0,9.0,17.92,27.0,False,new,mock,TL,2,4
19,713.0,22.0,1260.0,27.0,244.0,232.0,0.0,1.0,4.0,86.64,61.0,False,new,mock,TL,2,5
20,1124.0,23.0,2043.0,30.0,468.0,432.0,0.0,1.0,3.0,107.78,102.0,False,new,mock,TL,2,6
21,1612.0,20.0,3286.0,26.0,995.0,878.0,0.0,1.0,5.0,46.62,132.0,False,new,mock,TL,2,7
22,495.0,9.0,764.0,10.0,170.0,88.0,0.0,1.0,0.0,15.81,53.0,False,new,mock,TL,2,8
23,1317.0,29.0,2226.0,42.0,426.0,329.0,0.0,1.0,0.0,67.69,105.0,False,new,mock,TL,2,9
24,1004.0,22.0,1852.0,33.0,357.0,311.0,0.0,1.0,0.0,16.8,81.0,False,new,mock,TL,2,10
25,3567.0,82.0,7290.0,135.0,3978.0,1872.0,0.0,1.0,0.0,239.25,509.0,False,new,mock,TL,2,11
26,579.0,9.0,928.0,10.0,174.0,105.0,0.0,1.0,0.0,26.88,57.0,False,new,mock,TL,2,12
27,2421.0,9.0,4957.0,10.0,1823.0,1170.0,0.0,1.0,0.0,187.41,226.0,False,new,mock,TL,2,13
28,812.0,28.0,1325.0,40.0,215.0,180.0,0.0,3.0,0.0,61.82,64.0,False,new,mock,TL,2,14
29,294.0,9.0,429.0,10.0,71.0,21.0,0.0,1.0,0.0,17.44,21.0,False,new,mock,TL,2,15
30,58.0,23.0,79.0,31.0,50.0,3.0,0.0,1.0,22.0,10.96,6.0,False,new,mock,TL,3,1
31,988.0,68.0,2020.0,115.0,584.0,352.0,0.0,1.0,295.0,120.22,50.0,False,new,mock,TL,3,2
32,1786.0,38.0,3061.0,58.0,811.0,475.0,0.0,1.0,196.0,150.16,168.0,False,new,mock,TL,3,3
33,10462.0,31.0,22099.0,48.0,45668.0,5359.0,0.0,13.0,1516.0,320.32,5372.0,False,new,mock,TL,3,4
34,3758.0,21.0,6311.0,28.0,2231.0,826.0,0.0,1.0,155.0,36.2,636.0,False,new,mock,TL,3,5
