,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,7,7,8,8,164,2,0,1,0,18.24,13.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,1,1,0.04878048780487805
1,7,7,8,8,168,2,0,1,0,18.72,16.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,1,2,0.047619047619047616
2,7,7,8,8,183,2,0,1,0,19.7,15.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,1,3,0.04371584699453552
3,7,7,8,8,169,2,0,1,0,19.23,13.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,1,4,0.047337278106508875
4,7,7,8,8,176,2,0,1,0,19.23,14.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,1,5,0.045454545454545456
5,9,9,10,10,188,2,0,1,0,19.7,20.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,2,1,0.05319148936170213
6,9,9,10,10,183,2,0,1,0,19.7,17.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,2,2,0.0546448087431694
7,9,9,10,10,178,2,0,1,0,20.18,18.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,2,3,0.056179775280898875
8,9,9,10,10,190,2,0,1,0,20.18,22.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,2,4,0.05263157894736842
9,9,9,10,10,174,2,0,1,0,20.18,16.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,2,5,0.05747126436781609
10,19,11,20,12,177,2,0,1,2,20.18,25.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,3,1,0.11299435028248588
11,38,11,40,12,208,2,0,1,2,20.66,42.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,3,2,0.19230769230769232
12,50,11,53,12,214,2,0,1,0,20.66,47.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,3,3,0.24766355140186916
13,71,11,75,12,239,2,0,1,0,21.17,71.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,3,4,0.3138075313807531
14,74,11,79,12,258,2,0,1,0,21.62,87.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,3,5,0.3062015503875969
15,23,13,24,14,195,2,0,1,2,20.18,28.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,4,1,0.12307692307692308
16,44,13,46,14,218,2,0,1,2,20.66,52.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,4,2,0.21100917431192662
17,58,13,61,14,222,2,0,1,0,21.17,66.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,4,3,0.2747747747747748
18,81,13,85,14,256,2,0,1,0,21.65,87.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,4,4,0.33203125
19,86,13,91,14,262,2,0,1,0,21.65,85.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,4,5,0.3473282442748092
20,27,15,30,16,189,2,0,1,2,20.69,29.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,5,1,0.15873015873015872
21,50,15,54,16,226,2,0,1,2,21.14,69.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,5,2,0.23893805309734514
22,67,15,72,16,234,2,0,1,0,21.65,66.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,5,3,0.3076923076923077
23,91,15,97,16,247,2,0,1,0,22.18,87.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,5,4,0.39271255060728744
24,99,15,106,16,269,2,0,1,0,22.18,107.0,false,False,new,experiments/results/TL_2_2/sample3NoFeature/101.onnx,TL,5,5,0.3940520446096654
