,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,6,6,8,8,184,2,0,1,0,17.7,14.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,1,1,0.043478260869565216
1,6,6,8,8,173,2,0,1,0,17.7,14.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,1,2,0.046242774566473986
2,6,6,8,8,172,2,0,1,0,18.21,15.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,1,3,0.046511627906976744
3,6,6,8,8,175,2,0,1,0,18.21,18.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,1,4,0.045714285714285714
4,6,6,8,8,173,2,0,1,0,19.7,15.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,1,5,0.046242774566473986
5,16,0,21,0,180,5,0,0,1,0.0,21.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,2,1,0.11666666666666667
6,20,20,30,30,190,7,0,3,0,20.18,28.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,2,2,0.15789473684210525
7,35,25,59,38,215,16,0,1,0,21.17,46.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,2,3,0.2744186046511628
8,42,27,69,43,241,15,0,1,0,21.65,64.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,2,4,0.2863070539419087
9,37,24,57,37,225,10,0,1,0,21.14,56.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,2,5,0.25333333333333335
10,28,0,38,0,202,7,0,0,1,0.0,37.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,3,1,0.18811881188118812
11,89,0,138,0,260,35,0,0,8,0.0,71.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,3,2,0.5307692307692308
12,161,152,284,249,368,81,0,1,0,22.24,140.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,3,3,0.7717391304347826
13,203,172,368,271,417,88,0,1,0,25.4,170.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,3,4,0.882494004796163
14,277,162,509,253,475,119,0,1,0,40.44,201.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,3,5,1.071578947368421
15,56,0,77,0,229,12,0,0,1,0.0,58.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,4,1,0.33624454148471616
16,190,0,288,0,368,54,0,0,22,0.0,157.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,4,2,0.782608695652174
17,724,0,1310,0,1149,436,0,0,43,0.0,496.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,4,3,1.1401218450826807
18,1070,0,2001,0,2113,719,0,0,0,0.0,703.0,true,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,4,4,0.9469947941315665
19,1102,0,2001,0,2279,702,0,0,0,0.0,783.0,true,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,4,5,0.8780166739798158
20,115,0,167,0,282,29,0,0,1,0.0,102.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,5,1,0.5921985815602837
21,455,0,699,0,538,93,0,0,99,0.0,272.0,false,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,5,2,1.2992565055762082
22,1304,0,2001,0,1490,345,0,0,156,0.0,764.0,true,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,5,3,1.3429530201342281
23,1411,0,2001,0,2941,244,0,0,2,0.0,2234.0,true,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,5,4,0.680380822849371
24,1442,0,2001,0,2608,141,0,0,0,0.0,2153.0,true,False,new,experiments/results/AT_2_2/boolean/87.onnx,AT,5,5,0.7672546012269938
