,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,5,5,6,6,164,2,0,1,0,16.69,11.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,1,1,0.036585365853658534
1,5,5,6,6,177,2,0,1,0,17.7,13.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,1,2,0.03389830508474576
2,5,5,6,6,168,2,0,1,0,17.7,14.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,1,3,0.03571428571428571
3,5,5,6,6,165,2,0,1,0,17.7,15.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,1,4,0.03636363636363636
4,5,5,6,6,177,2,0,1,0,18.21,14.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,1,5,0.03389830508474576
5,11,11,14,14,171,4,0,1,0,20.18,18.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,2,1,0.08187134502923976
6,15,15,20,20,190,6,0,1,0,20.18,24.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,2,2,0.10526315789473684
7,19,19,26,26,178,8,0,1,0,20.18,24.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,2,3,0.14606741573033707
8,23,23,32,32,185,10,0,1,0,20.66,31.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,2,4,0.17297297297297298
9,27,27,38,38,191,12,0,1,0,20.66,33.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,2,5,0.19895287958115182
10,23,23,30,30,183,8,0,1,0,20.18,28.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,3,1,0.16393442622950818
11,35,35,48,48,203,13,0,1,0,21.14,42.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,3,2,0.23645320197044334
12,50,47,69,66,226,17,0,1,0,21.65,49.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,3,3,0.3053097345132743
13,67,67,96,96,234,28,0,1,0,23.62,59.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,3,4,0.41025641025641024
14,83,83,120,120,268,32,0,1,0,24.66,91.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,3,5,0.44776119402985076
15,47,47,62,62,215,16,0,1,0,21.14,55.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,4,1,0.28837209302325584
16,63,63,86,86,242,23,0,1,0,22.66,67.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,4,2,0.35537190082644626
17,97,97,136,136,279,35,0,1,0,26.18,86.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,4,3,0.4874551971326165
18,139,139,199,199,342,56,0,1,0,18.25,133.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,4,4,0.5818713450292398
19,176,176,255,255,379,71,0,1,0,27.24,157.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,4,5,0.6728232189973615
20,95,95,126,126,254,32,0,1,0,24.66,69.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,5,1,0.49606299212598426
21,133,133,183,183,304,50,0,1,0,29.62,104.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,5,2,0.6019736842105263
22,189,189,265,265,408,71,0,1,0,26.32,176.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,5,3,0.6495098039215687
23,276,276,394,394,512,105,0,1,0,55.4,209.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,5,4,0.76953125
24,382,382,549,549,688,160,0,1,0,102.42,272.0,false,False,new,experiments/results/BW_2_2/boolean/92.onnx,BW,5,5,0.7979651162790697
