,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,4,0,3,0,169,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,1,1,0.01775147928994083
1,5,0,4,0,172,0,0,0,1,0.0,14.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,1,2,0.023255813953488372
2,6,0,5,0,175,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,1,3,0.02857142857142857
3,7,0,6,0,165,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,1,4,0.03636363636363636
4,8,0,7,0,167,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,1,5,0.041916167664670656
5,51,32,64,40,225,7,1,1,6,21.14,53.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,2,1,0.28444444444444444
6,35,25,39,29,197,4,0,2,1,20.66,33.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,2,2,0.19796954314720813
7,45,27,49,31,204,4,0,2,1,20.66,42.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,2,3,0.24019607843137256
8,49,29,53,33,226,4,0,2,1,20.66,63.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,2,4,0.2345132743362832
9,75,31,80,35,230,4,0,2,1,21.14,60.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,2,5,0.34782608695652173
10,111,42,141,55,272,11,3,15,4,23.14,103.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,3,1,0.5183823529411765
11,195,75,242,108,340,18,3,16,4,26.18,152.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,3,2,0.711764705882353
12,597,0,1001,0,731,94,4,0,24,0.0,456.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,3,3,1.3693570451436388
13,637,0,1001,0,737,50,1,0,23,0.0,477.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,3,4,1.3582089552238805
14,786,0,1001,0,691,40,1,0,41,0.0,447.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,3,5,1.4486251808972503
15,572,0,1001,0,845,121,2,0,2,0.0,535.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,4,1,1.1846153846153846
16,561,161,876,298,701,65,2,28,2,64.66,450.0,false,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,4,2,1.2496433666191156
17,810,0,1001,0,747,42,0,0,2,0.0,519.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,4,3,1.3400267737617135
18,917,0,1001,0,767,11,0,0,2,0.0,554.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,4,4,1.305084745762712
19,992,0,1001,0,756,0,0,0,2,0.0,559.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,4,5,1.3240740740740742
20,782,0,1001,0,849,0,9,0,2,0.0,641.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,5,1,1.1790341578327443
21,961,0,1001,0,858,0,0,0,3,0.0,651.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,5,2,1.1666666666666667
22,988,0,1001,0,897,0,0,0,2,0.0,686.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,5,3,1.1159420289855073
23,992,0,1001,0,879,0,0,0,1,0.0,691.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,5,4,1.1387940841865756
24,992,0,1001,0,867,0,0,0,1,0.0,663.0,true,False,new,experiments/results/DP_2_2/boolean/70.onnx,DP,5,5,1.154555940023068
