,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,15,15,18,18,257,4,0,1,0,14.48,20.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,1,0.07003891050583658
1,17,17,21,21,245,4,0,1,0,15.02,25.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,2,0.08571428571428572
2,19,19,24,24,264,4,0,1,0,14.51,34.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,3,0.09090909090909091
3,21,21,27,27,250,4,0,1,0,14.99,28.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,4,0.108
4,23,23,30,30,254,4,0,1,0,15.5,34.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,5,0.11811023622047244
5,25,25,33,33,274,4,0,1,0,15.5,36.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,6,0.12043795620437957
6,27,27,36,36,262,4,0,1,0,15.98,46.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,7,0.13740458015267176
7,29,29,39,39,336,4,0,1,0,15.98,73.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,8,0.11607142857142858
8,31,31,42,42,292,4,0,1,0,15.98,43.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,9,0.14383561643835616
9,33,33,45,45,272,4,0,1,0,16.0,43.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,10,0.16544117647058823
10,35,35,48,48,271,4,0,1,0,16.0,43.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,11,0.17712177121771217
11,37,37,51,51,286,4,0,1,0,16.48,58.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,12,0.17832167832167833
12,39,39,54,54,285,4,0,1,0,16.48,58.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,13,0.18947368421052632
13,41,41,57,57,284,4,0,1,0,16.48,47.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,14,0.2007042253521127
14,43,43,60,60,302,4,0,1,0,16.96,70.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,1,15,0.1986754966887417
15,47,45,62,59,300,16,0,1,0,17.44,70.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,2,1,0.20666666666666667
16,53,51,71,68,329,18,0,1,0,17.92,87.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,2,2,0.21580547112462006
17,60,55,81,73,323,20,0,1,0,18.48,72.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,2,3,0.25077399380804954
18,66,61,90,82,323,21,0,1,0,18.48,88.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,2,4,0.2786377708978328
19,72,67,99,91,352,22,0,1,0,19.44,117.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,2,5,0.28125
20,77,75,107,104,393,24,0,1,0,19.92,130.0,false,False,new,experiments/results/TA_2_2/boolean/206.onnx,TA,2,6,0.272264631043257
