,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,8,7,9,8,177,2,0,1,1,17.7,15.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,1,1,0.05084745762711865
1,8,7,9,8,166,2,0,1,0,19.7,16.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,1,2,0.05421686746987952
2,8,7,9,8,168,2,0,1,0,19.7,14.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,1,3,0.05357142857142857
3,8,7,9,8,173,2,0,1,0,19.7,16.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,1,4,0.05202312138728324
4,8,7,9,8,169,2,0,1,0,19.7,14.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,1,5,0.05325443786982249
5,11,9,12,10,168,2,0,1,1,19.7,15.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,2,1,0.07142857142857142
6,11,9,12,10,171,2,0,1,0,19.7,18.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,2,2,0.07017543859649122
7,11,9,12,10,176,2,0,1,0,20.18,18.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,2,3,0.06818181818181818
8,11,9,12,10,168,2,0,1,0,20.18,18.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,2,4,0.07142857142857142
9,11,9,12,10,211,2,0,1,0,20.18,36.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,2,5,0.05687203791469194
10,14,11,15,12,171,2,0,1,1,20.18,18.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,3,1,0.08771929824561403
11,14,11,15,12,172,2,0,1,0,20.18,20.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,3,2,0.0872093023255814
12,14,11,15,12,173,2,0,1,0,20.18,20.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,3,3,0.08670520231213873
13,14,11,15,12,196,2,0,1,0,20.21,28.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,3,4,0.07653061224489796
14,14,11,15,12,177,2,0,1,0,20.18,21.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,3,5,0.0847457627118644
15,17,13,18,14,181,2,0,1,1,20.18,25.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,4,1,0.09944751381215469
16,17,13,18,14,174,2,0,1,0,20.18,25.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,4,2,0.10344827586206896
17,17,13,18,14,184,2,0,1,0,20.21,22.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,4,3,0.09782608695652174
18,17,13,18,14,198,2,0,1,0,20.21,21.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,4,4,0.09090909090909091
19,17,13,18,14,182,2,0,1,0,20.21,22.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,4,5,0.0989010989010989
20,20,15,21,16,178,2,0,1,1,20.21,23.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,5,1,0.11797752808988764
21,20,15,21,16,192,2,0,1,0,20.18,28.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,5,2,0.109375
22,20,15,21,16,201,2,0,1,0,20.69,37.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,5,3,0.1044776119402985
23,20,15,21,16,178,2,0,1,0,20.18,25.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,5,4,0.11797752808988764
24,20,15,21,16,181,2,0,1,0,20.69,24.0,false,False,new,experiments/results/TL_2_2/boolean/101.onnx,TL,5,5,0.11602209944751381
