,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,6,6,8,8,178,2,0,2,0,17.7,13.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,1,1,0.0449438202247191
1,6,6,8,8,186,2,0,2,0,17.7,17.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,1,2,0.043010752688172046
2,6,6,8,8,183,2,0,2,0,17.73,15.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,1,3,0.04371584699453552
3,6,6,8,8,184,2,0,2,0,19.23,12.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,1,4,0.043478260869565216
4,6,6,8,8,184,2,0,2,0,20.18,14.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,1,5,0.043478260869565216
5,6,6,8,8,188,2,0,2,0,20.18,16.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,1,6,0.0425531914893617
6,6,6,8,8,188,2,0,2,0,20.21,15.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,1,7,0.0425531914893617
7,6,6,8,8,191,2,0,2,0,20.21,14.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,1,8,0.041884816753926704
8,6,6,8,8,185,2,0,2,0,19.7,15.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,1,9,0.043243243243243246
9,6,6,8,8,196,2,0,2,0,20.21,22.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,1,10,0.04081632653061224
10,6,6,8,8,191,2,0,2,0,20.21,25.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,1,11,0.041884816753926704
11,6,6,8,8,196,2,0,2,0,19.7,24.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,1,12,0.04081632653061224
12,6,6,8,8,184,2,0,2,0,19.7,18.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,1,13,0.043478260869565216
13,6,6,8,8,193,2,0,2,0,20.21,19.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,1,14,0.04145077720207254
14,6,6,8,8,188,2,0,2,0,20.21,18.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,1,15,0.0425531914893617
15,13,0,16,0,188,3,0,0,1,0.0,20.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,2,1,0.0851063829787234
16,22,21,33,31,209,6,0,1,0,20.69,33.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,2,2,0.15789473684210525
17,25,24,37,34,204,7,0,1,0,20.69,33.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,2,3,0.18137254901960784
18,28,27,40,37,214,7,0,1,0,20.69,37.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,2,4,0.18691588785046728
19,30,29,42,39,224,7,0,1,0,21.17,42.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,2,5,0.1875
20,32,31,44,41,227,8,0,1,0,21.14,54.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,2,6,0.19383259911894274
21,38,38,48,48,228,4,0,1,0,21.14,48.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,2,7,0.21052631578947367
22,37,36,49,46,246,7,0,1,0,21.65,66.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,2,8,0.1991869918699187
23,37,36,49,46,238,7,0,1,0,21.68,56.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,2,9,0.20588235294117646
24,35,35,45,45,233,4,0,1,0,21.68,52.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,2,10,0.19313304721030042
25,51,51,61,61,243,6,0,1,0,22.18,61.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,2,11,0.25102880658436216
26,31,30,43,40,233,7,0,1,0,21.7,52.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,2,12,0.18454935622317598
27,58,57,70,67,256,8,0,1,0,22.66,68.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,2,13,0.2734375
28,31,31,41,41,239,6,0,1,0,22.18,61.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,2,14,0.17154811715481172
29,54,54,64,64,253,4,0,1,0,22.66,65.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,2,15,0.25296442687747034
30,23,0,33,0,209,8,0,0,1,0.0,40.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,3,1,0.15789473684210525
31,77,0,131,0,262,43,0,0,4,0.0,74.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,3,2,0.5
32,96,96,139,139,294,14,0,1,0,23.62,109.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,3,3,0.47278911564625853
33,112,112,155,155,296,15,0,1,0,24.66,103.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,3,4,0.5236486486486487
34,92,92,133,133,304,14,0,1,0,24.18,112.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,3,5,0.4375
35,169,168,213,211,353,21,0,1,0,28.18,148.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,3,6,0.603399433427762
36,136,134,180,175,318,21,0,1,0,26.66,119.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,3,7,0.5660377358490566
37,106,106,147,147,320,14,0,1,0,25.62,130.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,3,8,0.459375
38,83,82,125,122,313,14,0,1,0,24.66,114.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,3,9,0.3993610223642173
39,116,109,160,149,351,14,0,1,0,26.66,143.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,3,10,0.45584045584045585
40,102,100,145,140,336,15,0,1,0,26.18,117.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,3,11,0.43154761904761907
41,234,227,284,269,414,24,0,1,0,22.97,181.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,3,12,0.6859903381642513
42,169,168,214,209,446,19,0,1,0,17.02,228.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,3,13,0.4798206278026906
43,306,306,349,349,449,23,0,1,0,25.05,229.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,3,14,0.77728285077951
44,188,188,229,229,399,17,0,1,0,16.13,180.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,3,15,0.5739348370927319
45,22,0,34,0,214,9,0,0,1,0.0,40.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,4,1,0.1588785046728972
46,245,0,418,0,422,114,0,0,28,0.0,154.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,4,2,0.990521327014218
47,864,0,1962,0,1717,866,0,0,46,0.0,486.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,4,3,1.1426907396622015
48,381,372,586,564,653,74,0,1,0,53.72,340.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,4,4,0.8973966309341501
49,361,356,555,540,586,78,0,1,0,53.77,278.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,4,5,0.947098976109215
50,367,356,551,524,690,78,0,1,0,57.85,380.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,4,6,0.7985507246376812
51,421,419,596,586,654,75,0,1,0,64.88,333.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,4,7,0.9113149847094801
52,374,367,559,541,693,72,0,1,0,67.95,378.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,4,8,0.8066378066378066
53,359,340,539,506,649,69,0,1,0,65.02,365.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,4,9,0.8305084745762712
54,244,240,409,398,575,56,0,1,0,37.04,324.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,4,10,0.711304347826087
55,511,501,694,670,802,87,0,1,0,101.2,412.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,4,11,0.8653366583541147
56,587,564,790,742,1032,104,0,1,0,133.27,594.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,4,12,0.7655038759689923
57,317,311,494,478,598,68,0,1,0,58.34,294.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,4,13,0.8260869565217391
58,636,633,805,801,895,76,0,1,0,121.43,514.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,4,14,0.8994413407821229
59,612,590,792,759,956,84,0,1,0,126.48,579.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,4,15,0.8284518828451883
60,21,0,33,0,223,6,0,0,1,0.0,44.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,5,1,0.14798206278026907
61,377,0,532,0,461,78,0,0,75,0.0,221.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,5,2,1.1540130151843817
62,2017,0,4190,0,4245,1454,0,0,181,0.0,1216.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,5,3,0.9870435806831567
63,6284,0,15001,0,93581,7810,0,0,171,0.0,8505.0,true,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,5,4,0.16029963347260662
64,28,0,45,0,232,10,0,0,1,0.0,57.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,6,1,0.1939655172413793
65,186,0,256,0,370,24,0,0,25,0.0,166.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,6,2,0.6918918918918919
66,5085,0,10725,0,19027,3402,0,0,588,0.0,4932.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,6,3,0.5636726756714143
67,31,0,49,0,249,6,0,0,1,0.0,69.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,7,1,0.19678714859437751
68,180,0,237,0,418,14,0,0,29,0.0,200.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,7,2,0.5669856459330144
69,8432,0,15001,0,32512,3732,0,0,1269,0.0,11449.0,true,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,7,3,0.4613988681102362
70,36,0,57,0,262,6,0,0,1,0.0,85.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,8,1,0.21755725190839695
71,1186,0,1457,0,889,27,0,0,294,0.0,558.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,8,2,1.638920134983127
72,41,0,65,0,278,6,0,0,1,0.0,109.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,9,1,0.23381294964028776
73,933,0,1192,0,839,31,0,0,212,0.0,515.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,9,2,1.4207389749702026
74,46,0,73,0,300,6,0,0,1,0.0,119.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,10,1,0.24333333333333335
75,980,0,1264,0,1005,26,0,0,187,0.0,711.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,10,2,1.2577114427860696
76,51,0,81,0,287,6,0,0,1,0.0,106.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,11,1,0.28222996515679444
77,1905,0,2312,0,1584,51,0,0,440,0.0,1179.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,11,2,1.4595959595959596
78,80,0,128,0,375,19,0,0,1,0.0,174.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,12,1,0.3413333333333333
79,1660,0,2008,0,1443,63,0,0,351,0.0,1059.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,12,2,1.3915453915453915
80,61,0,97,0,324,6,0,0,1,0.0,140.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,13,1,0.2993827160493827
81,2218,0,2613,0,2095,25,0,0,446,0.0,1658.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,13,2,1.247255369928401
82,66,0,105,0,365,6,0,0,1,0.0,182.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,14,1,0.2876712328767123
83,1314,0,1614,0,1665,6,0,0,231,0.0,1319.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,14,2,0.9693693693693693
84,71,0,113,0,389,6,0,0,1,0.0,198.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,15,1,0.29048843187660667
85,4614,0,5649,0,7723,39,0,0,936,0.0,6806.0,false,False,new,experiments/results/AT_2_2/boolean_2/127.onnx,AT,15,2,0.7314515084811601
