,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,25.0,17.0,32.0,21.0,186.0,7.0,1.0,1.0,2.0,14.48,23.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,1,1,0.17204301075268819
1,52.0,36.0,67.0,44.0,206.0,14.0,2.0,1.0,2.0,16.48,41.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,1,2,0.32524271844660196
2,76.0,52.0,97.0,64.0,247.0,18.0,4.0,1.0,2.0,18.96,63.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,1,3,0.39271255060728744
3,177.0,87.0,276.0,112.0,331.0,38.0,61.0,1.0,8.0,22.71,101.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,1,4,0.8338368580060423
4,112.0,72.0,145.0,92.0,285.0,25.0,9.0,1.0,2.0,23.44,94.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,1,5,0.5087719298245614
5,317.0,145.0,516.0,189.0,532.0,48.0,151.0,1.0,8.0,75.99,161.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,1,6,0.9699248120300752
6,316.0,110.0,525.0,139.0,480.0,28.0,179.0,1.0,6.0,63.11,153.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,1,7,1.09375
7,186.0,116.0,239.0,148.0,367.0,39.0,15.0,1.0,2.0,27.2,126.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,1,8,0.6512261580381471
8,519.0,183.0,873.0,235.0,770.0,31.0,315.0,1.0,9.0,19.71,210.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,1,9,1.1337662337662338
9,645.0,259.0,1097.0,345.0,1345.0,161.0,280.0,10.0,4.0,145.08,269.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,1,10,0.8156133828996283
10,772.0,288.0,1313.0,394.0,1556.0,113.0,417.0,1.0,13.0,31.0,279.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,1,11,0.8438303341902313
11,1054.0,434.0,1804.0,587.0,2458.0,143.0,590.0,15.0,15.0,33.78,400.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,1,12,0.7339300244100895
12,1015.0,317.0,1749.0,435.0,2923.0,211.0,491.0,34.0,13.0,179.99,374.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,1,13,0.5983578515224085
13,1170.0,344.0,2029.0,453.0,3666.0,231.0,594.0,30.0,17.0,83.64,389.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,1,14,0.5534642662302237
14,1315.0,537.0,2282.0,740.0,5473.0,259.0,702.0,1.0,14.0,135.8,481.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,1,15,0.41695596564955234
15,174.0,75.0,277.0,132.0,338.0,58.0,3.0,1.0,38.0,7.76,125.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,2,1,0.8195266272189349
16,1124.0,221.0,2122.0,413.0,1336.0,256.0,214.0,1.0,402.0,147.69,482.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,2,2,1.5883233532934131
17,4864.0,460.0,10055.0,886.0,19064.0,2404.0,569.0,1.0,1710.0,73.98,3309.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,2,3,0.5274339068401175
18,14699.0,1302.0,31945.0,2395.0,179292.0,7147.0,2812.0,25.0,5155.0,164.25,30347.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,2,4,0.17817303616446914
19,,,,,,,,,,,,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,2,5,
20,1157.0,355.0,2521.0,922.0,1823.0,725.0,0.0,1.0,361.0,100.0,655.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,3,1,1.382885353812397
21,14352.0,1751.0,35770.0,4856.0,186104.0,7342.0,72.0,1.0,7711.0,130.16,51885.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,3,2,0.19220435885311438
22,,,,,,,,,,,,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,3,3,
23,7149.0,1787.0,20546.0,6620.0,69020.0,6483.0,0.0,1.0,2138.0,169.52,17013.0,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,4,1,0.29768183135323095
24,,,,,,,,,,,,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,4,2,
25,,,,,,,,,,,,false,False,new,experiments/results/CM_2_2/boolean_2/98.onnx,CM,5,1,
