,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,4,0,3,0,177,0,0,0,1,0.0,10.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,1,1,0.01694915254237288
1,5,0,4,0,169,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,1,2,0.023668639053254437
2,6,0,5,0,178,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,1,3,0.028089887640449437
3,7,0,6,0,170,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,1,4,0.03529411764705882
4,8,0,7,0,177,0,0,0,1,0.0,10.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,1,5,0.03954802259887006
5,9,0,8,0,176,0,0,0,1,0.0,12.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,1,6,0.045454545454545456
6,10,0,9,0,175,0,0,0,1,0.0,14.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,1,7,0.05142857142857143
7,11,0,10,0,170,0,0,0,1,0.0,11.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,1,8,0.058823529411764705
8,12,0,11,0,171,0,0,0,1,0.0,14.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,1,9,0.06432748538011696
9,13,0,12,0,177,0,0,0,1,0.0,14.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,1,10,0.06779661016949153
10,14,0,13,0,175,0,0,0,1,0.0,12.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,1,11,0.07428571428571429
11,15,0,14,0,185,0,0,0,1,0.0,15.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,1,12,0.07567567567567568
12,16,0,15,0,180,0,0,0,1,0.0,15.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,1,13,0.08333333333333333
13,17,0,16,0,182,0,0,0,1,0.0,14.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,1,14,0.08791208791208792
14,18,0,17,0,175,0,0,0,1,0.0,14.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,1,15,0.09714285714285714
15,40,23,47,27,229,4,1,1,2,20.66,50.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,2,1,0.2052401746724891
16,49,25,56,29,214,4,1,1,2,20.66,46.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,2,2,0.2616822429906542
17,56,27,62,31,225,4,1,1,2,20.66,50.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,2,3,0.27555555555555555
18,57,29,62,33,223,4,0,1,2,20.66,56.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,2,4,0.27802690582959644
19,65,31,70,35,228,4,0,1,2,21.14,56.0,false,False,new,experiments/results/DP_2_2/boolean_2/3.onnx,DP,2,5,0.30701754385964913
