,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
0,17,15,20,18,216,3,0,1,2,19.7,22.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,1,1,0.09259259259259259,0
1,19,17,23,21,220,3,0,1,2,19.7,25.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,1,2,0.10454545454545454,0
2,21,19,26,24,215,3,0,1,2,19.26,19.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,1,3,0.12093023255813953,0
3,23,21,29,27,269,3,0,1,2,19.7,48.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,1,4,0.10780669144981413,0
4,25,23,32,30,226,3,0,1,2,20.18,23.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,1,5,0.1415929203539823,0
5,27,25,35,33,219,3,0,1,2,20.69,28.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,1,6,0.1598173515981735,0
6,29,27,38,36,228,3,0,1,2,20.69,31.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,1,7,0.16666666666666666,0
7,31,29,41,39,230,3,0,1,2,20.69,37.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,1,8,0.1782608695652174,0
8,33,31,44,42,242,3,0,1,2,20.18,41.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,1,9,0.18181818181818182,0
9,35,33,47,45,231,3,0,1,2,20.18,37.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,1,10,0.20346320346320346,0
10,37,35,50,48,241,3,0,1,2,20.69,38.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,1,11,0.2074688796680498,0
11,39,37,53,51,241,3,0,1,2,21.14,37.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,1,12,0.21991701244813278,0
12,41,39,56,54,263,3,0,1,2,21.14,46.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,1,13,0.21292775665399238,0
13,43,41,59,57,280,3,0,1,2,21.14,68.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,1,14,0.21071428571428572,0
14,45,43,62,60,245,3,0,1,2,21.14,46.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,1,15,0.2530612244897959,0
15,117,73,228,118,348,23,0,1,19,27.14,118.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,2,1,0.6551724137931034,0
16,140,91,282,156,391,27,0,1,24,9.25,140.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,2,2,0.7212276214833759,0
17,160,105,326,187,389,33,0,1,24,19.25,132.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,2,3,0.8380462724935732,0
18,180,123,371,224,393,32,0,1,23,22.31,137.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,2,4,0.9440203562340967,0
19,200,139,415,258,443,39,0,1,23,26.31,146.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,2,5,0.9367945823927766,0
20,220,153,459,289,501,38,0,1,23,29.34,216.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,2,6,0.9161676646706587,0
21,240,171,503,326,488,37,0,1,23,32.37,201.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,2,7,1.0307377049180328,0
22,260,187,547,360,511,40,0,1,23,36.4,202.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,2,8,1.0704500978473581,0
23,280,203,591,394,539,41,0,1,23,41.35,224.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,2,9,1.0964749536178107,0
24,300,219,635,428,540,45,0,1,23,44.41,238.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,2,10,1.1759259259259258,0
25,317,235,669,462,571,49,0,1,18,48.42,266.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,2,11,1.1716287215411558,0
26,337,249,712,492,598,61,0,1,19,53.44,280.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,2,12,1.1906354515050168,0
27,360,267,767,530,622,49,0,1,23,60.45,272.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,2,13,1.2331189710610932,0
28,377,281,801,560,663,51,0,1,18,63.48,310.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,2,14,1.2081447963800904,0
29,400,299,855,598,699,53,0,1,23,71.49,311.0,false,False,new,experiments/results/TA_2_2/boolean_2/0.onnx,TA,2,15,1.2231759656652361,0
