,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
0,31,17,41,21,213,7,1,1,3,20.69,42.0,false,False,new,experiments/results/CM_2_2/boolean_3/0.onnx,CM,1,1,0.19248826291079812,0
1,85,37,114,48,280,19,1,1,6,22.18,96.0,false,False,new,experiments/results/CM_2_2/boolean_3/0.onnx,CM,1,2,0.40714285714285714,0
2,175,44,264,57,390,55,7,1,11,17.23,139.0,false,False,new,experiments/results/CM_2_2/boolean_3/0.onnx,CM,1,3,0.676923076923077,0
3,297,84,470,111,542,96,18,5,14,35.6,250.0,false,False,new,experiments/results/CM_2_2/boolean_3/0.onnx,CM,1,4,0.8671586715867159,0
4,451,105,755,141,703,139,56,4,21,82.89,302.0,false,False,new,experiments/results/CM_2_2/boolean_3/0.onnx,CM,1,5,1.073968705547653,0
5,637,144,1080,188,902,164,118,23,22,105.96,469.0,false,False,new,experiments/results/CM_2_2/boolean_3/0.onnx,CM,1,6,1.1973392461197339,0
6,855,105,1465,137,1379,284,125,1,27,23.98,568.0,false,False,new,experiments/results/CM_2_2/boolean_3/0.onnx,CM,1,7,1.0623640319071792,0
7,1105,191,1940,258,1770,324,200,1,33,40.7,729.0,false,False,new,experiments/results/CM_2_2/boolean_3/0.onnx,CM,1,8,1.0960451977401129,0
8,1387,167,2455,223,2942,464,214,1,34,223.96,1005.0,false,False,new,experiments/results/CM_2_2/boolean_3/0.onnx,CM,1,9,0.8344663494221618,0
9,1701,295,3101,408,3694,788,151,1,42,212.88,1063.0,false,False,new,experiments/results/CM_2_2/boolean_3/0.onnx,CM,1,10,0.839469409853817,0
10,2047,288,3716,389,7435,726,339,1,47,143.63,1391.0,false,False,new,experiments/results/CM_2_2/boolean_3/0.onnx,CM,1,11,0.49979825151311363,0
11,2425,368,4418,512,10649,770,458,1,47,160.95,2021.0,false,False,new,experiments/results/CM_2_2/boolean_3/0.onnx,CM,1,12,0.41487463611606723,0
12,2835,0,5001,0,6780,699,581,0,50,0.0,2332.0,true,False,new,experiments/results/CM_2_2/boolean_3/0.onnx,CM,1,13,0.7376106194690265,0
