,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,4.0,0.0,3.0,0.0,168.0,0.0,0.0,0.0,1.0,0.0,11.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,1,1
1,5.0,0.0,4.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,11.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,1,2
2,6.0,0.0,5.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,12.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,1,3
3,7.0,0.0,6.0,0.0,173.0,0.0,0.0,0.0,1.0,0.0,13.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,1,4
4,8.0,0.0,7.0,0.0,169.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,1,5
5,9.0,0.0,8.0,0.0,169.0,0.0,0.0,0.0,1.0,0.0,12.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,1,6
6,10.0,0.0,9.0,0.0,171.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,1,7
7,11.0,0.0,10.0,0.0,173.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,1,8
8,12.0,0.0,11.0,0.0,170.0,0.0,0.0,0.0,1.0,0.0,13.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,1,9
9,13.0,0.0,12.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,16.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,1,10
10,14.0,0.0,13.0,0.0,176.0,0.0,0.0,0.0,1.0,0.0,12.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,1,11
11,15.0,0.0,14.0,0.0,181.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,1,12
12,16.0,0.0,15.0,0.0,178.0,0.0,0.0,0.0,1.0,0.0,13.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,1,13
13,17.0,0.0,16.0,0.0,178.0,0.0,0.0,0.0,1.0,0.0,14.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,1,14
14,18.0,0.0,17.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,16.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,1,15
15,41.0,25.0,52.0,32.0,207.0,5.0,1.0,1.0,2.0,16.48,39.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,2,1
16,51.0,28.0,64.0,36.0,218.0,5.0,1.0,1.0,2.0,16.48,41.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,2,2
17,61.0,31.0,76.0,40.0,221.0,5.0,1.0,1.0,2.0,16.96,52.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,2,3
18,71.0,34.0,88.0,44.0,227.0,5.0,1.0,1.0,2.0,16.96,55.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,2,4
19,81.0,37.0,100.0,48.0,246.0,5.0,1.0,1.0,2.0,16.96,73.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,2,5
20,91.0,40.0,112.0,52.0,247.0,5.0,1.0,1.0,2.0,17.44,63.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,2,6
21,101.0,43.0,124.0,56.0,259.0,5.0,1.0,1.0,2.0,17.44,85.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,2,7
22,111.0,46.0,136.0,60.0,261.0,5.0,1.0,1.0,2.0,17.92,79.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,2,8
23,121.0,49.0,148.0,64.0,258.0,5.0,1.0,1.0,2.0,18.0,79.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,2,9
24,131.0,52.0,160.0,68.0,257.0,5.0,1.0,1.0,2.0,18.48,76.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,2,10
25,141.0,55.0,172.0,72.0,278.0,5.0,1.0,1.0,2.0,18.48,96.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,2,11
26,151.0,58.0,184.0,76.0,268.0,5.0,1.0,1.0,2.0,18.96,92.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,2,12
27,161.0,61.0,196.0,80.0,280.0,5.0,1.0,1.0,2.0,18.96,93.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,2,13
28,171.0,64.0,208.0,84.0,280.0,5.0,1.0,1.0,2.0,19.44,100.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,2,14
29,181.0,67.0,220.0,88.0,289.0,5.0,1.0,1.0,2.0,19.92,113.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,2,15
30,247.0,40.0,338.0,57.0,367.0,8.0,5.0,1.0,5.0,23.44,178.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,3,1
31,283.0,68.0,364.0,100.0,370.0,16.0,7.0,1.0,6.0,25.44,174.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,3,2
32,210.0,80.0,290.0,120.0,340.0,18.0,2.0,1.0,3.0,23.92,139.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,3,3
33,249.0,92.0,343.0,140.0,377.0,20.0,2.0,1.0,3.0,27.44,166.0,False,new,experiments/results/DP_2_2/boolean_3/52.onnx,DP,3,4
