,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k
0,6.0,6.0,8.0,8.0,182.0,2.0,0.0,2.0,0.0,13.5,17.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,1,1
1,7.0,6.0,10.0,8.0,193.0,2.0,0.0,2.0,0.0,13.5,18.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,1,2
2,7.0,6.0,9.0,8.0,189.0,2.0,0.0,2.0,0.0,14.51,15.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,1,3
3,7.0,6.0,9.0,8.0,183.0,2.0,0.0,2.0,0.0,15.53,18.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,1,4
4,7.0,6.0,9.0,8.0,185.0,2.0,0.0,2.0,0.0,15.53,18.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,1,5
5,7.0,6.0,9.0,8.0,191.0,2.0,0.0,2.0,0.0,15.02,15.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,1,6
6,7.0,6.0,9.0,8.0,185.0,2.0,0.0,2.0,0.0,15.02,18.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,1,7
7,7.0,6.0,9.0,8.0,196.0,2.0,0.0,2.0,0.0,15.02,22.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,1,8
8,7.0,6.0,9.0,8.0,186.0,2.0,0.0,2.0,0.0,15.5,21.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,1,9
9,7.0,6.0,9.0,8.0,191.0,2.0,0.0,2.0,0.0,15.5,19.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,1,10
10,7.0,6.0,9.0,8.0,191.0,2.0,0.0,2.0,0.0,15.5,19.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,1,11
11,7.0,6.0,9.0,8.0,194.0,2.0,0.0,2.0,0.0,15.51,20.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,1,12
12,7.0,6.0,9.0,8.0,191.0,2.0,0.0,2.0,0.0,15.53,19.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,1,13
13,7.0,6.0,9.0,8.0,189.0,2.0,0.0,2.0,0.0,15.53,20.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,1,14
14,7.0,6.0,9.0,8.0,192.0,2.0,0.0,2.0,0.0,15.53,21.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,1,15
15,5.0,0.0,4.0,0.0,179.0,0.0,0.0,0.0,1.0,0.0,15.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,2,1
16,30.0,25.0,50.0,38.0,230.0,15.0,0.0,2.0,0.0,16.48,44.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,2,2
17,34.0,25.0,56.0,38.0,235.0,17.0,0.0,2.0,0.0,16.48,57.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,2,3
18,56.0,25.0,107.0,38.0,261.0,20.0,0.0,2.0,0.0,18.48,69.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,2,4
19,72.0,25.0,147.0,38.0,319.0,22.0,0.0,2.0,0.0,19.92,118.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,2,5
20,90.0,25.0,195.0,38.0,318.0,24.0,0.0,2.0,0.0,21.44,117.0,False,new,experiments/results/AT_2_2/boolean_4/62.onnx,AT,2,6
