,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
0,11,7,12,8,207,2,0,1,3,13.53,18.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,1,1,0.057971014492753624,0
1,24,7,38,8,208,6,0,1,8,15.5,30.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,1,2,0.18269230769230768,0
2,42,7,77,8,237,12,0,1,12,15.98,64.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,1,3,0.32489451476793246,0
3,67,7,127,8,251,13,0,1,16,17.44,72.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,1,4,0.5059760956175299,0
4,104,14,206,22,316,25,0,1,22,19.92,130.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,1,5,0.6518987341772152,0
5,143,19,285,26,315,28,0,1,28,21.44,141.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,1,6,0.9047619047619048,0
6,201,14,426,22,363,64,0,1,38,15.83,148.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,1,7,1.1735537190082646,0
7,250,14,551,18,403,83,0,1,45,22.91,176.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,1,8,1.3672456575682381,0
8,313,40,680,62,461,90,0,1,52,30.91,225.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,1,9,1.475054229934924,0
9,377,49,846,78,524,116,0,1,53,44.86,229.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,1,10,1.6145038167938932,0
10,457,40,1054,62,619,161,0,1,58,72.89,294.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,1,11,1.702746365105008,0
11,541,59,1257,96,729,192,0,1,64,105.87,348.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,1,12,1.7242798353909465,0
12,630,49,1494,78,835,241,0,1,79,145.86,368.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,1,13,1.7892215568862275,0
13,716,82,1713,138,984,276,0,1,85,46.85,467.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,1,14,1.7408536585365855,0
14,830,109,1991,188,1096,318,0,1,105,115.19,500.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,1,15,1.8166058394160585,0
15,33,13,49,16,196,4,0,1,17,15.5,29.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,2,1,0.25,0
16,170,23,336,35,347,40,0,1,61,25.44,136.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,2,2,0.968299711815562,0
17,573,46,1339,79,793,154,0,1,181,111.85,384.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,2,3,1.6885245901639345,0
18,1482,9,3587,10,1885,247,0,1,404,107.56,1066.0,false,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,2,4,1.902917771883289,0
19,2202,0,5001,0,2744,0,0,0,458,0.0,1752.0,true,False,new,experiments/results/TL_2_2/boolean_4/0.onnx,TL,2,5,1.8225218658892128,0
