,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),OutOfMem,algorithm,heuristic,problem,n,k,idx
0,17.0,15.0,20.0,18.0,206.0,4.0,0.0,1.0,2.0,14.0,18.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,1,1,0
1,19.0,17.0,23.0,21.0,212.0,4.0,0.0,1.0,2.0,14.48,21.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,1,2,0
2,21.0,19.0,26.0,24.0,212.0,4.0,0.0,1.0,2.0,14.99,20.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,1,3,0
3,23.0,21.0,29.0,27.0,215.0,4.0,0.0,1.0,2.0,15.5,26.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,1,4,0
4,25.0,23.0,32.0,30.0,213.0,4.0,0.0,1.0,2.0,15.5,23.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,1,5,0
5,27.0,25.0,35.0,33.0,217.0,4.0,0.0,1.0,2.0,15.5,23.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,1,6,0
6,29.0,27.0,38.0,36.0,222.0,4.0,0.0,1.0,2.0,15.5,30.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,1,7,0
7,31.0,29.0,41.0,39.0,220.0,4.0,0.0,1.0,2.0,15.98,32.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,1,8,0
8,33.0,31.0,44.0,42.0,226.0,4.0,0.0,1.0,2.0,15.98,33.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,1,9,0
9,35.0,33.0,47.0,45.0,219.0,4.0,0.0,1.0,2.0,15.98,30.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,1,10,0
10,37.0,35.0,50.0,48.0,238.0,4.0,0.0,1.0,2.0,15.98,39.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,1,11,0
11,39.0,37.0,53.0,51.0,236.0,4.0,0.0,1.0,2.0,15.98,44.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,1,12,0
12,41.0,39.0,56.0,54.0,231.0,4.0,0.0,1.0,2.0,15.98,38.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,1,13,0
13,43.0,41.0,59.0,57.0,259.0,4.0,0.0,1.0,2.0,15.98,64.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,1,14,0
14,45.0,43.0,62.0,60.0,232.0,4.0,0.0,1.0,2.0,16.0,37.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,1,15,0
15,113.0,83.0,227.0,140.0,333.0,78.0,0.0,1.0,12.0,25.92,97.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,2,1,0
16,136.0,78.0,262.0,127.0,342.0,79.0,0.0,1.0,11.0,27.44,105.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,2,2,0
17,155.0,90.0,302.0,151.0,378.0,90.0,0.0,1.0,11.0,16.8,135.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,2,3,0
18,174.0,102.0,342.0,175.0,397.0,99.0,0.0,1.0,11.0,19.79,142.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,2,4,0
19,193.0,114.0,380.0,199.0,415.0,103.0,0.0,1.0,11.0,22.72,143.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,2,5,0
20,212.0,126.0,420.0,223.0,426.0,103.0,0.0,1.0,11.0,26.77,141.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,2,6,0
21,231.0,138.0,460.0,247.0,459.0,119.0,0.0,1.0,11.0,31.76,181.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,2,7,0
22,250.0,150.0,502.0,271.0,454.0,130.0,0.0,1.0,11.0,37.81,161.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,2,8,0
23,269.0,162.0,542.0,295.0,475.0,148.0,0.0,1.0,11.0,42.85,179.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,2,9,0
24,288.0,174.0,582.0,319.0,514.0,157.0,0.0,1.0,11.0,46.92,214.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,2,10,0
25,307.0,186.0,622.0,343.0,522.0,166.0,0.0,1.0,11.0,53.95,199.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,2,11,0
26,326.0,198.0,662.0,367.0,555.0,175.0,0.0,1.0,11.0,59.96,217.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,2,12,0
27,345.0,213.0,704.0,398.0,560.0,185.0,0.0,1.0,11.0,67.98,220.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,2,13,0
28,364.0,222.0,742.0,415.0,627.0,192.0,0.0,1.0,11.0,74.03,249.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,2,14,0
29,383.0,234.0,780.0,439.0,650.0,212.0,0.0,1.0,11.0,79.99,285.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,2,15,0
30,772.0,359.0,2307.0,758.0,1867.0,1009.0,0.0,1.0,158.0,65.33,445.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,3,1,0
31,909.0,440.0,2687.0,995.0,2313.0,1178.0,0.0,1.0,155.0,66.17,556.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,3,2,0
32,1057.0,524.0,3131.0,1215.0,2934.0,1336.0,0.0,1.0,172.0,73.95,590.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,3,3,0
33,1205.0,602.0,3575.0,1422.0,3707.0,1540.0,0.0,1.0,190.0,75.0,692.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,3,4,0
34,1353.0,677.0,4017.0,1624.0,4646.0,1698.0,0.0,1.0,208.0,47.28,785.0,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,3,5,0
35,,,,,,,,,,,,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,3,6,0
36,,,,,,,,,,,,False,new,experiments/results/TA_2_2/boolean_5/0.onnx,TA,4,1,0
37,17.0,15.0,20.0,18.0,209.0,4.0,0.0,1.0,2.0,14.0,19.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,1,1,1
38,19.0,17.0,23.0,21.0,213.0,5.0,0.0,1.0,2.0,14.48,19.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,1,2,1
39,21.0,19.0,26.0,24.0,220.0,6.0,0.0,1.0,2.0,14.99,22.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,1,3,1
40,23.0,21.0,29.0,27.0,218.0,7.0,0.0,1.0,2.0,15.5,23.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,1,4,1
41,25.0,23.0,32.0,30.0,226.0,8.0,0.0,1.0,2.0,15.5,28.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,1,5,1
42,27.0,25.0,35.0,33.0,221.0,9.0,0.0,1.0,2.0,15.5,29.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,1,6,1
43,29.0,27.0,38.0,36.0,225.0,10.0,0.0,1.0,2.0,15.98,30.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,1,7,1
44,31.0,29.0,41.0,39.0,222.0,11.0,0.0,1.0,2.0,15.98,28.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,1,8,1
45,33.0,31.0,44.0,42.0,231.0,12.0,0.0,1.0,2.0,15.98,37.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,1,9,1
46,35.0,33.0,47.0,45.0,224.0,13.0,0.0,1.0,2.0,15.98,30.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,1,10,1
47,37.0,35.0,50.0,48.0,229.0,14.0,0.0,1.0,2.0,15.98,33.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,1,11,1
48,39.0,37.0,53.0,51.0,239.0,12.0,0.0,1.0,2.0,15.98,43.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,1,12,1
49,41.0,39.0,56.0,54.0,256.0,12.0,0.0,1.0,2.0,15.98,59.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,1,13,1
50,43.0,41.0,59.0,57.0,237.0,12.0,0.0,1.0,2.0,16.48,44.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,1,14,1
51,45.0,43.0,62.0,60.0,231.0,12.0,0.0,1.0,2.0,16.48,39.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,1,15,1
52,104.0,42.0,184.0,52.0,310.0,53.0,0.0,1.0,31.0,22.48,83.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,2,1,1
53,136.0,48.0,241.0,61.0,359.0,67.0,0.0,1.0,34.0,25.44,112.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,2,2,1
54,156.0,54.0,275.0,70.0,360.0,71.0,0.0,1.0,36.0,27.92,119.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,2,3,1
55,176.0,60.0,312.0,79.0,403.0,74.0,0.0,1.0,37.0,14.87,143.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,2,4,1
56,196.0,66.0,347.0,88.0,406.0,79.0,0.0,1.0,39.0,18.86,151.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,2,5,1
57,216.0,72.0,377.0,97.0,398.0,87.0,0.0,1.0,42.0,21.93,141.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,2,6,1
58,236.0,78.0,411.0,106.0,433.0,87.0,0.0,1.0,44.0,24.94,177.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,2,7,1
59,256.0,84.0,447.0,115.0,476.0,95.0,0.0,1.0,43.0,29.01,202.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,2,8,1
60,276.0,90.0,483.0,124.0,486.0,100.0,0.0,1.0,39.0,32.0,198.0,False,new,experiments/results/TA_2_2/boolean_5/1.onnx,TA,2,9,1
