,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
0,18,0,17,0,214,0,0,0,1,0.0,15.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/boolean_DP_2_k_over_boolean/components_by_state_DP_2_15_over_boolean/,DP,1,15,0.0794392523364486,2
1,1017,178,1553,312,659,95,0,1,177,77.71,292.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/boolean_DP_2_k_over_boolean/components_by_state_DP_2_15_over_boolean/,DP,2,15,2.3566009104704095,2
2,3268,0,5001,0,2559,0,0,0,145,0.0,2190.0,true,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/boolean_DP_2_k_over_boolean/components_by_state_DP_2_15_over_boolean/,DP,3,15,1.9542790152403282,2
3,18,0,17,0,198,0,0,0,1,0.0,15.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/boolean_DP_2_k_over_boolean/components_by_state_DP_2_15_over_boolean/,DP,1,15,0.08585858585858586,3
4,1012,178,1537,312,671,101,1,1,204,78.76,317.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/boolean_DP_2_k_over_boolean/components_by_state_DP_2_15_over_boolean/,DP,2,15,2.290611028315946,3
5,3484,0,5001,0,2622,0,0,0,301,0.0,2227.0,true,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/boolean_DP_2_k_over_boolean/components_by_state_DP_2_15_over_boolean/,DP,3,15,1.9073226544622426,3
6,18,0,17,0,198,0,0,0,1,0.0,15.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/boolean_DP_2_k_over_boolean/components_by_state_DP_2_15_over_boolean/,DP,1,15,0.08585858585858586,6
7,1008,99,1525,154,633,78,1,1,206,65.71,281.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/boolean_DP_2_k_over_boolean/components_by_state_DP_2_15_over_boolean/,DP,2,15,2.4091627172195893,6
8,3448,0,5001,0,2192,0,0,0,637,0.0,1792.0,true,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/boolean_DP_2_k_over_boolean/components_by_state_DP_2_15_over_boolean/,DP,3,15,2.281478102189781,6
9,18,0,17,0,199,0,0,0,1,0.0,15.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/boolean_DP_2_k_over_boolean/components_by_state_DP_2_15_over_boolean/,DP,1,15,0.08542713567839195,7
10,1026,133,1534,206,663,75,2,1,214,71.73,318.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/boolean_DP_2_k_over_boolean/components_by_state_DP_2_15_over_boolean/,DP,2,15,2.3137254901960786,7
11,3602,0,5001,0,2231,0,1,0,822,0.0,1860.0,true,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/boolean_DP_2_k_over_boolean/components_by_state_DP_2_15_over_boolean/,DP,3,15,2.2415956969968622,7
12,18,0,17,0,197,0,0,0,1,0.0,17.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/boolean_DP_2_k_over_boolean/components_by_state_DP_2_15_over_boolean/,DP,1,15,0.08629441624365482,8
13,1038,133,1564,206,689,76,2,1,211,71.71,343.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/boolean_DP_2_k_over_boolean/components_by_state_DP_2_15_over_boolean/,DP,2,15,2.2699564586357037,8
14,3640,0,5001,0,2230,0,1,0,762,0.0,1851.0,true,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/boolean_DP_2_k_over_boolean/components_by_state_DP_2_15_over_boolean/,DP,3,15,2.2426008968609867,8
