,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms
0,6,6,8,8,184,2,0,1,0,13.5,17.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/72.onnx,AT,1,1,0.043478260869565216
1,7,6,10,8,187,3,0,2,0,13.51,16.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/72.onnx,AT,1,2,0.053475935828877004
2,8,6,12,8,187,4,0,2,0,14.0,16.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/72.onnx,AT,1,3,0.06417112299465241
3,9,6,14,8,188,5,0,2,0,15.02,17.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/72.onnx,AT,1,4,0.07446808510638298
4,10,6,16,8,194,5,0,2,0,15.53,19.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/72.onnx,AT,1,5,0.08247422680412371
5,11,6,18,8,191,5,0,2,0,16.0,23.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/72.onnx,AT,1,6,0.09424083769633508
6,12,6,20,8,194,5,0,2,0,15.5,23.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/72.onnx,AT,1,7,0.10309278350515463
7,13,6,22,8,204,5,0,2,0,15.5,28.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/72.onnx,AT,1,8,0.10784313725490197
8,14,6,24,8,204,5,0,2,0,15.5,31.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/72.onnx,AT,1,9,0.11764705882352941
9,15,6,26,8,210,5,0,2,0,15.5,28.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/72.onnx,AT,1,10,0.12380952380952381
10,15,6,26,8,196,5,0,2,0,15.5,27.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/72.onnx,AT,1,11,0.1326530612244898
11,15,6,26,8,202,5,0,2,0,16.0,27.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/72.onnx,AT,1,12,0.12871287128712872
12,15,6,26,8,203,5,0,2,0,16.0,29.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/72.onnx,AT,1,13,0.12807881773399016
13,15,6,26,8,206,5,0,2,0,16.0,29.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/72.onnx,AT,1,14,0.1262135922330097
14,15,6,26,8,207,5,0,2,0,16.0,28.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/72.onnx,AT,1,15,0.12560386473429952
