,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
0,6,6,8,8,194,2,0,1,0,13.5,16.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,1,0.041237113402061855,0
1,7,6,10,8,186,2,0,1,0,13.51,16.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,2,0.053763440860215055,0
2,8,6,12,8,189,2,0,1,0,14.0,16.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,3,0.06349206349206349,0
3,9,6,14,8,188,2,0,1,0,14.51,18.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,4,0.07446808510638298,0
4,10,6,16,8,187,2,0,1,0,15.02,18.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,5,0.0855614973262032,0
5,11,6,18,8,193,2,0,1,0,15.53,23.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,6,0.09326424870466321,0
6,12,6,20,8,192,2,0,1,0,15.5,22.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,7,0.10416666666666667,0
7,13,6,22,8,199,2,0,1,0,15.5,25.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,8,0.11055276381909548,0
8,14,6,24,8,202,2,0,1,0,15.5,25.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,9,0.1188118811881188,0
9,15,6,26,8,201,2,0,1,0,15.5,29.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,10,0.12935323383084577,0
10,16,6,28,8,210,2,0,1,0,15.5,29.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,11,0.13333333333333333,0
11,17,6,30,8,208,2,0,1,0,16.0,31.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,12,0.14423076923076922,0
12,18,6,32,8,207,2,0,1,0,16.0,33.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,13,0.15458937198067632,0
13,19,6,34,8,213,2,0,1,0,16.0,38.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,14,0.1596244131455399,0
14,20,6,36,8,223,2,0,1,0,16.0,43.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,1,15,0.16143497757847533,0
15,11,0,11,0,191,0,0,0,1,0.0,16.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,1,0.05759162303664921,0
16,31,22,56,36,213,9,0,1,0,15.98,43.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,2,0.26291079812206575,0
17,43,29,88,48,236,12,0,1,0,16.96,55.0,false,False,new,experiments/results/AT_2_2/labelsThatReach/0.onnx,AT,2,3,0.3728813559322034,0
