,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
0,11,7,13,8,192,2,0,1,4,13.53,24.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/0.onnx,TL,1,1,0.06770833333333333,0
1,24,10,39,12,210,4,0,1,9,16.0,38.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/0.onnx,TL,1,2,0.18571428571428572,0
2,43,10,76,12,218,6,0,1,15,16.48,44.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/0.onnx,TL,1,3,0.3486238532110092,0
3,65,10,120,12,250,7,0,1,21,17.44,81.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/0.onnx,TL,1,4,0.48,0
4,92,10,178,12,269,10,0,1,26,19.44,92.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/0.onnx,TL,1,5,0.6617100371747212,0
5,121,32,239,48,321,10,0,1,30,21.44,139.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/0.onnx,TL,1,6,0.7445482866043613,0
6,164,10,325,12,325,10,0,1,37,23.92,142.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/0.onnx,TL,1,7,1.0,0
7,223,25,448,36,365,13,0,1,49,15.9,183.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/0.onnx,TL,1,8,1.2273972602739727,0
8,260,59,531,96,413,13,0,1,51,19.99,220.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/0.onnx,TL,1,9,1.2857142857142858,0
9,355,32,721,48,471,16,0,1,68,32.15,271.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/0.onnx,TL,1,10,1.5307855626326965,0
10,403,10,829,12,541,16,0,1,79,40.12,339.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/0.onnx,TL,1,11,1.5323475046210722,0
11,479,95,989,162,578,16,0,1,85,53.08,360.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/0.onnx,TL,1,12,1.7110726643598615,0
12,522,32,1111,48,643,19,0,1,78,67.08,403.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/0.onnx,TL,1,13,1.7278382581648521,0
13,646,32,1354,48,752,20,0,1,117,96.12,520.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/0.onnx,TL,1,14,1.800531914893617,0
14,706,140,1495,246,822,23,0,1,109,119.12,566.0,false,False,new,experiments/results/TL_2_2/labelsThatReach/0.onnx,TL,1,15,1.8187347931873479,0
