,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),expansion_budget_exceeded,OutOfMem,algorithm,heuristic,problem,n,k,transitions/ms,idx
0,12,0,11,0,196,0,0,0,1,0.0,14.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_9_over_boolean//0.onnx,DP,1,9,0.05612244897959184,0
1,459,106,700,158,519,57,1,1,85,38.6,225.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_9_over_boolean//0.onnx,DP,2,9,1.348747591522158,0
2,3077,0,5001,0,2063,0,0,0,690,0.0,1570.0,true,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_9_over_boolean//0.onnx,DP,3,9,2.4241396025206012,0
3,12,0,11,0,194,0,0,0,1,0.0,13.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_9_over_boolean//1.onnx,DP,1,9,0.05670103092783505,1
4,530,130,852,228,503,77,0,1,95,36.59,221.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_9_over_boolean//1.onnx,DP,2,9,1.6938369781312128,1
5,3224,0,5001,0,2108,0,2,0,757,0.0,1537.0,true,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_9_over_boolean//1.onnx,DP,3,9,2.3723908918406074,1
6,12,0,11,0,195,0,0,0,1,0.0,13.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_9_over_boolean//2.onnx,DP,1,9,0.05641025641025641,2
7,563,152,893,262,546,88,1,1,100,43.61,229.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_9_over_boolean//2.onnx,DP,2,9,1.6355311355311355,2
8,3257,0,5001,0,2077,99,0,0,712,0.0,1529.0,true,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_9_over_boolean//2.onnx,DP,3,9,2.40779971112181,2
9,12,0,11,0,194,0,0,0,1,0.0,14.0,false,False,new,/home/marco/Desktop/Learning-Synthesis/experiments/results/COMPLETE_components_by_state_DP_2_k_over_boolean//COMPLETE_components_by_state_DP_2_9_over_boolean//3.onnx,DP,1,9,0.05670103092783505,3
